   Run        n0        n1    LT[0]    LT[1]     Q[0]     Q[1]       df       Pt       Pb        A dA(stat) dA(syst)        x       Q2        W        E       th      phi        tot_Syst  tot_SystRelUnc         Pt_Syst   Pt_SystRelUnc         Pb_Syst   Pb_SystRelUnc         df_Syst   df_SystRelUnc         AQ_Syst   AQ_SystRelUnc        ALT_Syst  ALT_SystRelUnc          C_bg-W    C_bg-WRelUnc          R_bg-W    R_bg-WRelUnc     A_bg_pair-W A_bg_pair-WRelUnc          f_el-W    f_el-WRelUnc          C_el-W    C_el-WRelUnc 
 72913       385       393   0.9151   0.9147    4.947    4.952    1e-09   0.6059   0.8851   0.4188   0.4253   0.1634   0.8057    5.602    1.491    2.192   0.6758  0.08281          -7.559          0.1065          0.6647         0.06017         -0.8659         0.01155          0.2298         0.08702       -0.001413        0.002254       0.0007644        0.004507           1.006         7.8e-05        0.002744       2.425e-05          -0.022         7.8e-05          0.9339        0.009362         0.04723        0.003581 
 72913       532       566   0.9151   0.9147    4.947    4.952    1e-09   0.6059   0.8851    1.621   0.3877   0.2252   0.7814    5.492    1.552    2.153   0.6751  0.08241          -8.726          0.1183          0.6647         0.06017         -0.8659         0.01155          0.1991          0.1004       -0.001413        0.005641       0.0007644         0.01128           1.007       3.428e-05        0.003192       3.142e-05          -0.022       3.428e-05          0.9443         0.00946         0.03888       0.0004686 
 72913       714       694   0.9151   0.9147    4.947    4.952    1e-09   0.6059   0.8851   0.3519   0.3453   0.1518   0.7579    5.384     1.61    2.113   0.6745   0.0828          -9.161           0.122          0.6647         0.06017         -0.8659         0.01155          0.1896          0.1055       -0.001413        0.001248       0.0007644        0.002496           1.008        6.18e-05        0.003686       3.474e-05          -0.022        6.18e-05          0.9518         0.00953         0.03296         0.00128 
 72913       992       973   0.9151   0.9147    4.947    4.952   0.2116   0.6059   0.8851 -0.02981   0.2632   0.1343   0.7354    5.275    1.664    2.076   0.6736  0.08866          -8.242           5.169          0.6647         0.06017         -0.8659         0.01155          0.2108         0.09488       -0.001413           2.311       0.0007644           4.623           1.022        0.001436        0.004585       1.725e-05          -0.022        0.001436          0.9569        0.009579          0.0291         0.02516 
 72913      1241      1319   0.9151   0.9147    4.947    4.952   0.2174   0.6059   0.8851   0.5692   0.2225   0.1287   0.7129    5.169    1.718    2.036   0.6733  0.08761          -8.115          0.1136          0.6647         0.06017         -0.8659         0.01155          0.2141         0.09342       -0.001413        0.009302       0.0007644          0.0186           1.011       8.444e-05        0.005353       5.085e-05          -0.022       8.444e-05          0.9609        0.009617         0.02595       0.0009117 
 72913      1617      1790   0.9151   0.9147    4.947    4.952    1e-09   0.6059   0.8851   0.5658   0.2069   0.1189   0.6904    5.049     1.77    2.002    0.671  0.09319          -8.578          0.1163          0.6647         0.06017         -0.8659         0.01155          0.2025         0.09875       -0.001413        0.001465       0.0007644        0.002929           1.013       8.697e-05        0.006414       6.186e-05          -0.022       8.697e-05           0.964        0.009646         0.02361        0.000626 
 72913      2437      2418   0.9151   0.9147    4.947    4.952   0.1983   0.6059   0.8851   0.3816   0.1865  0.09145   0.6674     4.94    1.825    1.955   0.6717  0.09911          -8.779            5.17          0.6647         0.06017         -0.8659         0.01155          0.1979          0.1011       -0.001413           2.311       0.0007644           4.623           1.017       0.0001507        0.007915       7.397e-05          -0.022       0.0001507          0.9662        0.009668         0.02187        0.001005 
 72913      3420      3569   0.9151   0.9147    4.947    4.952   0.1978   0.6059   0.8851   0.8233   0.1477  0.09823   0.6436    4.817     1.88    1.912   0.6708   0.1035          -8.801          0.1244          0.6647         0.06017         -0.8659         0.01155          0.1974          0.1013       -0.001413         0.01699       0.0007644         0.03398            1.02       0.0001204        0.009524       9.276e-05          -0.022       0.0001204           0.968        0.009685         0.02042       0.0004537 
 72913      4797      5087   0.9151   0.9147    4.947    4.952   0.1959   0.6059   0.8851   0.7606   0.1259  0.09105   0.6196    4.694    1.936    1.863   0.6707    0.109          -8.888          0.1285          0.6647         0.06017         -0.8659         0.01155          0.1955          0.1023       -0.001413         0.02139       0.0007644         0.04278           1.025       0.0001539         0.01178       0.0001147          -0.022       0.0001539           0.969        0.009695         0.01948       0.0004656 
 72913      6677      6925   0.9151   0.9147    4.947    4.952    0.193   0.6059   0.8851   0.6287   0.1083  0.07151   0.5946    4.559    1.994    1.815   0.6697   0.1154          -9.018          0.1786          0.6647         0.06017         -0.8659         0.01155          0.1927          0.1038       -0.001413         0.05893       0.0007644          0.1179           1.031       0.0002144         0.01475       0.0001427          -0.022       0.0002144          0.9695          0.0097         0.01892        0.000559 
 72913      9548     10009   0.9151   0.9147    4.947    4.952   0.1898   0.6059   0.8851    0.676  0.09197  0.06716   0.5699    4.431    2.052    1.758   0.6708   0.1187          -9.177          0.1317          0.6647         0.06017         -0.8659         0.01155          0.1893          0.1056       -0.001413         0.02201       0.0007644         0.04401            1.04       0.0002623         0.01877       0.0001829          -0.022       0.0002623          0.9693        0.009698         0.01878       0.0005071 
 72913     13295     13714   0.9151   0.9147    4.947    4.952   0.1864   0.6059   0.8851   0.6607  0.07999  0.06832   0.5451    4.299    2.111    1.698   0.6722   0.1232          -9.326          0.1354          0.6647         0.06017         -0.8659         0.01155          0.1863          0.1074       -0.001413         0.02475       0.0007644          0.0495           1.051       0.0003326         0.02377       0.0002329          -0.022       0.0003326          0.9686        0.009691         0.01895       0.0005036 
 72913     18508     18874   0.9151   0.9147    4.947    4.952   0.1835   0.6059   0.8851   0.6335  0.06934  0.06345   0.5204    4.167     2.17    1.632   0.6748   0.1291           -9.48          0.1438          0.6647         0.06017         -0.8659         0.01155          0.1833          0.1091       -0.001413         0.03163       0.0007644         0.06325           1.066       0.0004307         0.03067       0.0003026          -0.022       0.0004307          0.9671        0.009677         0.01961       0.0005121 
 72913     25008     25755   0.9151   0.9147    4.947    4.952   0.1806   0.6059   0.8851   0.6452  0.06126   0.0634   0.4955    4.029     2.23    1.565    0.677   0.1331          -9.629          0.1333          0.6647         0.06017         -0.8659         0.01155          0.1804          0.1108       -0.001413         0.01859       0.0007644         0.03718           1.086       0.0005633         0.03963       0.0003944          -0.022       0.0005633          0.9648        0.009655         0.02071       0.0005365 
 72913     28775     29740   0.9151   0.9147    4.947    4.952   0.1777   0.6059   0.8851   0.5912  0.05967  0.05808   0.4714    3.896     2.29    1.493   0.6807   0.1353          -9.784          0.1809          0.6647         0.06017         -0.8659         0.01155          0.1776          0.1126       -0.001413         0.05709       0.0007644          0.1142           1.124        0.000843         0.05572       0.0005612          -0.022        0.000843          0.9606        0.009614         0.02314       0.0006392 
 72913     29125     29959   0.9151   0.9147    4.947    4.952   0.1747   0.6059   0.8851   0.6628  0.06257  0.06128   0.4456    3.732     2.35    1.432   0.6791   0.1343          -9.958          0.1344          0.6647         0.06017         -0.8659         0.01155          0.1745          0.1146       -0.001413          0.0153       0.0007644         0.03059           1.164        0.001085         0.07271       0.0007471          -0.022        0.001085          0.9559        0.009569         0.02559        0.000648 
 72913     23109     23421   0.9151   0.9147    4.947    4.952   0.1715   0.6059   0.8851   0.5815  0.07408  0.06158   0.4204    3.567    2.408    1.372   0.6773   0.1282          -10.14          0.1419          0.6647         0.06017         -0.8659         0.01155          0.1714          0.1167       -0.001413         0.02348       0.0007644         0.04696           1.211        0.001467         0.09114       0.0009489          -0.022        0.001467          0.9504        0.009517         0.02833       0.0007756 
