#: table_doi: 10.17182/hepdata.71339.v1/t19
#: name: Table 19
#: description: The values of $(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ in each bin of $p_T^{\ell\ell}$ for the electron and muon channels separately (for various generator-level definitions) and for the Born-level combination in the kinematic region $ 66 \textrm{ GeV} \leq m_{\ell\ell} < 116 \textrm{ GeV},\ 0.8 \leq |y_{\ell\ell}| < 1.2$. The associated statistical and systematic (both uncorrelated and correlated between bins) are provided in percentage form.

#: data_file: Table19.yaml
#: keyword reactions: P P --> Z0 X | P P --> GAMMA* X
#: keyword observables: DSIG/DPT
#: keyword phrases: Inclusive | Single Differential Cross Section | Transverse Momentum Dependence | Proton-Proton Scattering | Z Production
#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Electron channel dressed,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
1.0,0.0,2.0,0.0264,0.6%,-0.6%,0.3%,-0.3%,1.0%,-1.0%
3.0,2.0,4.0,0.05532,0.4%,-0.4%,0.2%,-0.2%,0.6%,-0.6%
5.0,4.0,6.0,0.05598,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
7.0,6.0,8.0,0.04889,0.4%,-0.4%,0.2%,-0.2%,0.4%,-0.4%
9.0,8.0,10.0,0.04126,0.5%,-0.5%,0.3%,-0.3%,0.5%,-0.5%
11.5,10.0,13.0,0.03288,0.4%,-0.4%,0.2%,-0.2%,0.4%,-0.4%
14.5,13.0,16.0,0.02552,0.5%,-0.5%,0.2%,-0.2%,0.4%,-0.4%
18.0,16.0,20.0,0.01917,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
22.5,20.0,25.0,0.0136,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
27.5,25.0,30.0,0.009826,0.5%,-0.5%,0.2%,-0.2%,0.3%,-0.3%
33.5,30.0,37.0,0.006841,0.5%,-0.5%,0.2%,-0.2%,0.4%,-0.4%
41.0,37.0,45.0,0.004559,0.5%,-0.5%,0.2%,-0.2%,0.6%,-0.6%
50.0,45.0,55.0,0.002962,0.6%,-0.6%,0.3%,-0.3%,0.8%,-0.8%
60.0,55.0,65.0,0.001903,0.7%,-0.7%,0.3%,-0.3%,1.0%,-1.0%
70.0,65.0,75.0,0.001238,0.9%,-0.9%,0.4%,-0.4%,1.2%,-1.2%
80.0,75.0,85.0,0.0008166,1.1%,-1.1%,0.6%,-0.6%,1.2%,-1.2%
