#: table_doi: 10.17182/hepdata.71339.v1/t19
#: name: Table 19
#: description: The values of $(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ in each bin of $p_T^{\ell\ell}$ for the electron and muon channels separately (for various generator-level definitions) and for the Born-level combination in the kinematic region $ 66 \textrm{ GeV} \leq m_{\ell\ell} < 116 \textrm{ GeV},\ 0.8 \leq |y_{\ell\ell}| < 1.2$. The associated statistical and systematic (both uncorrelated and correlated between bins) are provided in percentage form.

#: data_file: Table19.yaml
#: keyword reactions: P P --> Z0 X | P P --> GAMMA* X
#: keyword observables: DSIG/DPT
#: keyword phrases: Inclusive | Single Differential Cross Section | Transverse Momentum Dependence | Proton-Proton Scattering | Z Production
#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Electron channel dressed,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
95.0,85.0,105.0,0.0004798,1.0%,-1.0%,0.4%,-0.4%,1.0%,-1.0%
127.5,105.0,150.0,0.0001807,1.0%,-1.0%,0.4%,-0.4%,0.9%,-0.9%
175.0,150.0,200.0,5.136e-05,1.7%,-1.7%,0.7%,-0.7%,1.4%,-1.4%
550.0,200.0,900.0,2.031e-06,2.2%,-2.2%,0.7%,-0.7%,1.6%,-1.6%

#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Electron channel Born,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
1.0,0.0,2.0,0.02708,0.6%,-0.6%,0.3%,-0.3%,1.0%,-1.0%
3.0,2.0,4.0,0.05639,0.4%,-0.4%,0.2%,-0.2%,0.6%,-0.6%
5.0,4.0,6.0,0.05653,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
7.0,6.0,8.0,0.04887,0.4%,-0.4%,0.2%,-0.2%,0.4%,-0.4%
9.0,8.0,10.0,0.04095,0.5%,-0.5%,0.3%,-0.3%,0.6%,-0.6%
11.5,10.0,13.0,0.03246,0.4%,-0.4%,0.2%,-0.2%,0.4%,-0.4%
14.5,13.0,16.0,0.02515,0.5%,-0.5%,0.2%,-0.2%,0.4%,-0.4%
18.0,16.0,20.0,0.01888,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
22.5,20.0,25.0,0.01346,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
27.5,25.0,30.0,0.009766,0.5%,-0.5%,0.2%,-0.2%,0.3%,-0.3%
33.5,30.0,37.0,0.00683,0.5%,-0.5%,0.2%,-0.2%,0.4%,-0.4%
41.0,37.0,45.0,0.004568,0.5%,-0.5%,0.2%,-0.2%,0.6%,-0.6%
50.0,45.0,55.0,0.002975,0.6%,-0.6%,0.3%,-0.3%,0.8%,-0.8%
60.0,55.0,65.0,0.001916,0.7%,-0.7%,0.3%,-0.3%,1.0%,-1.0%
70.0,65.0,75.0,0.001249,0.9%,-0.9%,0.4%,-0.4%,1.2%,-1.2%
80.0,75.0,85.0,0.0008235,1.1%,-1.1%,0.6%,-0.6%,1.2%,-1.2%
95.0,85.0,105.0,0.0004844,1.0%,-1.0%,0.4%,-0.4%,1.0%,-1.0%
127.5,105.0,150.0,0.0001821,1.0%,-1.0%,0.4%,-0.4%,0.9%,-0.9%
175.0,150.0,200.0,5.166e-05,1.7%,-1.7%,0.7%,-0.7%,1.4%,-1.4%
550.0,200.0,900.0,2.04e-06,2.2%,-2.2%,0.7%,-0.7%,1.6%,-1.6%

#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Muon channel bare,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
1.0,0.0,2.0,0.02606,0.5%,-0.5%,0.2%,-0.2%,0.9%,-0.9%
3.0,2.0,4.0,0.05406,0.3%,-0.3%,0.2%,-0.2%,0.3%,-0.3%
5.0,4.0,6.0,0.05608,0.3%,-0.3%,0.1%,-0.1%,0.4%,-0.4%
7.0,6.0,8.0,0.04919,0.3%,-0.3%,0.1%,-0.1%,0.4%,-0.4%
9.0,8.0,10.0,0.04159,0.4%,-0.4%,0.2%,-0.2%,0.4%,-0.4%
11.5,10.0,13.0,0.03324,0.3%,-0.3%,0.1%,-0.1%,0.3%,-0.3%
14.5,13.0,16.0,0.02592,0.4%,-0.4%,0.1%,-0.1%,0.3%,-0.3%
18.0,16.0,20.0,0.01942,0.3%,-0.3%,0.1%,-0.1%,0.2%,-0.2%
22.5,20.0,25.0,0.01384,0.3%,-0.3%,0.1%,-0.1%,0.2%,-0.2%
27.5,25.0,30.0,0.00973,0.4%,-0.4%,0.1%,-0.1%,0.2%,-0.2%
33.5,30.0,37.0,0.00676,0.4%,-0.4%,0.1%,-0.1%,0.2%,-0.2%
41.0,37.0,45.0,0.00451,0.5%,-0.5%,0.1%,-0.1%,0.3%,-0.3%
50.0,45.0,55.0,0.00289,0.5%,-0.5%,0.2%,-0.2%,0.3%,-0.3%
60.0,55.0,65.0,0.001873,0.6%,-0.6%,0.2%,-0.2%,0.4%,-0.4%
70.0,65.0,75.0,0.001228,0.8%,-0.8%,0.3%,-0.3%,0.5%,-0.5%
80.0,75.0,85.0,0.0008238,1.0%,-1.0%,0.4%,-0.4%,0.5%,-0.5%
95.0,85.0,105.0,0.0004718,0.8%,-0.8%,0.3%,-0.3%,0.5%,-0.5%
127.5,105.0,150.0,0.0001802,0.9%,-0.9%,0.3%,-0.3%,0.5%,-0.5%
175.0,150.0,200.0,5.053e-05,1.6%,-1.6%,0.5%,-0.5%,1.0%,-1.0%
550.0,200.0,900.0,2.025e-06,2.0%,-2.0%,0.7%,-0.7%,1.3%,-1.3%

#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Muon channel dressed,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
1.0,0.0,2.0,0.02662,0.5%,-0.5%,0.2%,-0.2%,0.9%,-0.9%
3.0,2.0,4.0,0.05491,0.3%,-0.3%,0.2%,-0.2%,0.3%,-0.3%
5.0,4.0,6.0,0.05645,0.3%,-0.3%,0.1%,-0.1%,0.4%,-0.4%
7.0,6.0,8.0,0.04913,0.3%,-0.3%,0.1%,-0.1%,0.4%,-0.4%
9.0,8.0,10.0,0.04132,0.4%,-0.4%,0.2%,-0.2%,0.4%,-0.4%
11.5,10.0,13.0,0.03284,0.3%,-0.3%,0.1%,-0.1%,0.3%,-0.3%
14.5,13.0,16.0,0.02556,0.4%,-0.4%,0.1%,-0.1%,0.3%,-0.3%
18.0,16.0,20.0,0.01916,0.3%,-0.3%,0.1%,-0.1%,0.2%,-0.2%
22.5,20.0,25.0,0.01373,0.3%,-0.3%,0.1%,-0.1%,0.2%,-0.2%
27.5,25.0,30.0,0.009698,0.4%,-0.4%,0.1%,-0.1%,0.2%,-0.2%
33.5,30.0,37.0,0.006757,0.4%,-0.4%,0.1%,-0.1%,0.2%,-0.2%
41.0,37.0,45.0,0.004527,0.5%,-0.5%,0.1%,-0.1%,0.3%,-0.3%
50.0,45.0,55.0,0.002909,0.5%,-0.5%,0.2%,-0.2%,0.3%,-0.3%
60.0,55.0,65.0,0.001893,0.6%,-0.6%,0.2%,-0.2%,0.4%,-0.4%
70.0,65.0,75.0,0.001242,0.8%,-0.8%,0.3%,-0.3%,0.5%,-0.5%
80.0,75.0,85.0,0.0008348,1.0%,-1.0%,0.4%,-0.4%,0.5%,-0.5%
95.0,85.0,105.0,0.0004786,0.8%,-0.8%,0.3%,-0.3%,0.5%,-0.5%
127.5,105.0,150.0,0.0001829,0.9%,-0.9%,0.3%,-0.3%,0.5%,-0.5%
175.0,150.0,200.0,5.152e-05,1.6%,-1.6%,0.5%,-0.5%,1.0%,-1.0%
550.0,200.0,900.0,2.067e-06,2.0%,-2.0%,0.7%,-0.7%,1.3%,-1.3%

#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Muon channel Born,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
1.0,0.0,2.0,0.02731,0.5%,-0.5%,0.2%,-0.2%,0.9%,-0.9%
3.0,2.0,4.0,0.05597,0.3%,-0.3%,0.2%,-0.2%,0.4%,-0.4%
5.0,4.0,6.0,0.057,0.3%,-0.3%,0.1%,-0.1%,0.5%,-0.5%
7.0,6.0,8.0,0.04913,0.3%,-0.3%,0.1%,-0.1%,0.5%,-0.5%
9.0,8.0,10.0,0.04098,0.4%,-0.4%,0.2%,-0.2%,0.6%,-0.6%
11.5,10.0,13.0,0.03242,0.3%,-0.3%,0.1%,-0.1%,0.5%,-0.5%
14.5,13.0,16.0,0.02518,0.4%,-0.4%,0.1%,-0.1%,0.3%,-0.3%
18.0,16.0,20.0,0.01887,0.3%,-0.3%,0.1%,-0.1%,0.2%,-0.2%
22.5,20.0,25.0,0.0136,0.3%,-0.3%,0.1%,-0.1%,0.2%,-0.2%
27.5,25.0,30.0,0.009646,0.4%,-0.4%,0.1%,-0.1%,0.3%,-0.3%
33.5,30.0,37.0,0.006747,0.4%,-0.4%,0.1%,-0.1%,0.3%,-0.3%
41.0,37.0,45.0,0.004532,0.5%,-0.5%,0.1%,-0.1%,0.3%,-0.3%
50.0,45.0,55.0,0.002924,0.5%,-0.5%,0.2%,-0.2%,0.4%,-0.4%
60.0,55.0,65.0,0.001907,0.6%,-0.6%,0.2%,-0.2%,0.5%,-0.5%
70.0,65.0,75.0,0.001253,0.8%,-0.8%,0.3%,-0.3%,0.5%,-0.5%
80.0,75.0,85.0,0.0008421,1.0%,-1.0%,0.4%,-0.4%,0.5%,-0.5%
95.0,85.0,105.0,0.0004829,0.8%,-0.8%,0.3%,-0.3%,0.5%,-0.5%
127.5,105.0,150.0,0.000184,0.9%,-0.9%,0.3%,-0.3%,0.5%,-0.5%
175.0,150.0,200.0,5.186e-05,1.6%,-1.6%,0.5%,-0.5%,1.0%,-1.0%
550.0,200.0,900.0,2.078e-06,2.0%,-2.0%,0.7%,-0.7%,1.3%,-1.3%

#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Combination Born,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
1.0,0.0,2.0,0.02711,0.4%,-0.4%,0.2%,-0.2%,0.6%,-0.6%
3.0,2.0,4.0,0.05611,0.2%,-0.2%,0.1%,-0.1%,0.3%,-0.3%
5.0,4.0,6.0,0.05691,0.2%,-0.2%,0.1%,-0.1%,0.3%,-0.3%
7.0,6.0,8.0,0.04906,0.3%,-0.3%,0.1%,-0.1%,0.3%,-0.3%
9.0,8.0,10.0,0.04096,0.3%,-0.3%,0.1%,-0.1%,0.4%,-0.4%
11.5,10.0,13.0,0.03244,0.3%,-0.3%,0.1%,-0.1%,0.3%,-0.3%
14.5,13.0,16.0,0.02519,0.3%,-0.3%,0.1%,-0.1%,0.2%,-0.2%
18.0,16.0,20.0,0.01888,0.3%,-0.3%,0.1%,-0.1%,0.2%,-0.2%
22.5,20.0,25.0,0.01355,0.3%,-0.3%,0.1%,-0.1%,0.2%,-0.2%
27.5,25.0,30.0,0.009693,0.3%,-0.3%,0.1%,-0.1%,0.2%,-0.2%
33.5,30.0,37.0,0.006777,0.3%,-0.3%,0.1%,-0.1%,0.2%,-0.2%
41.0,37.0,45.0,0.004544,0.3%,-0.3%,0.1%,-0.1%,0.3%,-0.3%
50.0,45.0,55.0,0.00294,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
60.0,55.0,65.0,0.001907,0.5%,-0.5%,0.2%,-0.2%,0.5%,-0.5%
70.0,65.0,75.0,0.001249,0.6%,-0.6%,0.2%,-0.2%,0.5%,-0.5%
80.0,75.0,85.0,0.0008337,0.7%,-0.7%,0.3%,-0.3%,0.5%,-0.5%
95.0,85.0,105.0,0.0004832,0.6%,-0.6%,0.2%,-0.2%,0.4%,-0.4%
127.5,105.0,150.0,0.0001831,0.6%,-0.6%,0.3%,-0.3%,0.5%,-0.5%
175.0,150.0,200.0,5.182e-05,1.2%,-1.2%,0.4%,-0.4%,0.7%,-0.7%
550.0,200.0,900.0,2.061e-06,1.5%,-1.5%,0.5%,-0.5%,0.9%,-0.9%

