#: table_doi: 10.17182/hepdata.71339.v1/t25
#: name: Table 25
#: description: The values of $(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ in each bin of $p_T^{\ell\ell}$ for the electron and muon channels separately (for various generator-level definitions) and for the Born-level combination in the kinematic region $ 30 \textrm{ GeV} \leq m_{\ell\ell} <  46 \textrm{ GeV},\ 0.0 \leq |y_{\ell\ell}| < 2.4$. The associated statistical and systematic (both uncorrelated and correlated between bins) are provided in percentage form.

#: data_file: Table25.yaml
#: keyword reactions: P P --> Z0 X | P P --> GAMMA* X
#: keyword observables: DSIG/DPT
#: keyword phrases: Inclusive | Single Differential Cross Section | Transverse Momentum Dependence | Proton-Proton Scattering | Z Production
#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Electron channel dressed,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
50.0,45.0,55.0,0.02853,2.2%,-2.2%,0.6%,-0.6%,1.7%,-1.7%
60.0,55.0,65.0,0.02153,2.6%,-2.6%,1.4%,-1.4%,1.4%,-1.4%
70.0,65.0,75.0,0.01517,3.3%,-3.3%,1.1%,-1.1%,1.6%,-1.6%
80.0,75.0,85.0,0.009428,4.2%,-4.2%,1.5%,-1.5%,2.3%,-2.3%
95.0,85.0,105.0,0.005793,3.4%,-3.4%,1.4%,-1.4%,2.5%,-2.5%
127.5,105.0,150.0,0.002114,3.3%,-3.3%,1.5%,-1.5%,3.0%,-3.0%
175.0,150.0,200.0,0.0005464,5.6%,-5.6%,1.7%,-1.7%,3.6%,-3.6%
550.0,200.0,900.0,2.155e-05,7.7%,-7.7%,5.1%,-5.1%,6.0%,-6.0%

#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Electron channel Born,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
50.0,45.0,55.0,0.02821,2.2%,-2.2%,0.6%,-0.6%,2.0%,-2.0%
60.0,55.0,65.0,0.02165,2.7%,-2.7%,1.4%,-1.4%,1.6%,-1.6%
70.0,65.0,75.0,0.01529,3.3%,-3.3%,1.1%,-1.1%,1.7%,-1.7%
80.0,75.0,85.0,0.009462,4.2%,-4.2%,1.5%,-1.5%,2.3%,-2.3%
95.0,85.0,105.0,0.005807,3.4%,-3.4%,1.4%,-1.4%,2.6%,-2.6%
127.5,105.0,150.0,0.002118,3.3%,-3.3%,1.5%,-1.5%,3.0%,-3.0%
175.0,150.0,200.0,0.000543,5.6%,-5.6%,1.7%,-1.7%,4.1%,-4.1%
550.0,200.0,900.0,2.182e-05,7.7%,-7.7%,5.1%,-5.1%,6.1%,-6.1%

#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Muon channel bare,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
50.0,45.0,55.0,0.02974,1.6%,-1.6%,0.5%,-0.5%,1.1%,-1.1%
60.0,55.0,65.0,0.02118,2.0%,-2.0%,0.8%,-0.8%,1.0%,-1.0%
70.0,65.0,75.0,0.01412,2.6%,-2.6%,1.1%,-1.1%,1.3%,-1.3%
80.0,75.0,85.0,0.01001,3.2%,-3.2%,1.2%,-1.2%,1.6%,-1.6%
95.0,85.0,105.0,0.005772,2.9%,-2.9%,1.2%,-1.2%,1.8%,-1.8%
127.5,105.0,150.0,0.002028,3.0%,-3.0%,1.1%,-1.1%,2.4%,-2.4%
175.0,150.0,200.0,0.000593,5.2%,-5.2%,2.3%,-2.3%,4.3%,-4.3%
550.0,200.0,900.0,1.887e-05,7.7%,-7.7%,3.4%,-3.4%,7.4%,-7.4%

#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Muon channel dressed,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
50.0,45.0,55.0,0.02977,1.6%,-1.6%,0.5%,-0.5%,1.1%,-1.1%
60.0,55.0,65.0,0.02119,2.0%,-2.0%,0.8%,-0.8%,1.0%,-1.0%
70.0,65.0,75.0,0.01405,2.6%,-2.6%,1.1%,-1.1%,1.3%,-1.3%
80.0,75.0,85.0,0.009895,3.2%,-3.2%,1.2%,-1.2%,1.6%,-1.6%
95.0,85.0,105.0,0.005799,2.9%,-2.9%,1.2%,-1.2%,1.8%,-1.8%
127.5,105.0,150.0,0.002042,3.0%,-3.0%,1.1%,-1.1%,2.4%,-2.4%
175.0,150.0,200.0,0.0005911,5.2%,-5.2%,2.3%,-2.3%,4.3%,-4.3%
550.0,200.0,900.0,1.923e-05,7.7%,-7.7%,3.4%,-3.4%,7.4%,-7.4%

#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
