#: table_doi: 10.17182/hepdata.71339.v1/t25
#: name: Table 25
#: description: The values of $(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ in each bin of $p_T^{\ell\ell}$ for the electron and muon channels separately (for various generator-level definitions) and for the Born-level combination in the kinematic region $ 30 \textrm{ GeV} \leq m_{\ell\ell} <  46 \textrm{ GeV},\ 0.0 \leq |y_{\ell\ell}| < 2.4$. The associated statistical and systematic (both uncorrelated and correlated between bins) are provided in percentage form.

#: data_file: Table25.yaml
#: keyword reactions: P P --> Z0 X | P P --> GAMMA* X
#: keyword observables: DSIG/DPT
#: keyword phrases: Inclusive | Single Differential Cross Section | Transverse Momentum Dependence | Proton-Proton Scattering | Z Production
#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Electron channel dressed,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Muon channel Born,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
50.0,45.0,55.0,0.02953,1.6%,-1.6%,0.5%,-0.5%,1.3%,-1.3%
60.0,55.0,65.0,0.02132,2.0%,-2.0%,0.8%,-0.8%,1.3%,-1.3%
70.0,65.0,75.0,0.0141,2.6%,-2.6%,1.1%,-1.1%,1.3%,-1.3%
80.0,75.0,85.0,0.009917,3.2%,-3.2%,1.2%,-1.2%,2.8%,-2.8%
95.0,85.0,105.0,0.005808,2.9%,-2.9%,1.2%,-1.2%,2.0%,-2.0%
127.5,105.0,150.0,0.002053,3.0%,-3.0%,1.1%,-1.1%,2.4%,-2.4%
175.0,150.0,200.0,0.0005853,5.2%,-5.2%,2.3%,-2.3%,4.6%,-4.6%
550.0,200.0,900.0,1.926e-05,7.7%,-7.7%,3.4%,-3.4%,7.5%,-7.5%

#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Combination Born,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
50.0,45.0,55.0,0.02909,1.3%,-1.3%,0.4%,-0.4%,1.2%,-1.2%
60.0,55.0,65.0,0.02146,1.6%,-1.6%,0.7%,-0.7%,1.1%,-1.1%
70.0,65.0,75.0,0.01452,2.1%,-2.1%,0.8%,-0.8%,1.1%,-1.1%
80.0,75.0,85.0,0.009763,2.6%,-2.6%,0.9%,-0.9%,2.0%,-2.0%
95.0,85.0,105.0,0.005793,2.2%,-2.2%,0.9%,-0.9%,1.7%,-1.7%
127.5,105.0,150.0,0.002076,2.2%,-2.2%,0.9%,-0.9%,1.9%,-1.9%
175.0,150.0,200.0,0.0005617,3.8%,-3.8%,1.4%,-1.4%,3.5%,-3.5%
550.0,200.0,900.0,2.037e-05,5.4%,-5.4%,2.9%,-2.9%,5.0%,-5.0%

