#: table_doi: 10.17182/hepdata.71339.v1/t26
#: name: Table 26
#: description: The values of $(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ in each bin of $p_T^{\ell\ell}$ for the electron and muon channels separately (for various generator-level definitions) and for the Born-level combination in the kinematic region $ 46 \textrm{ GeV} \leq m_{\ell\ell} <  66 \textrm{ GeV},\ 0.0 \leq |y_{\ell\ell}| < 2.4$. The associated statistical and systematic (both uncorrelated and correlated between bins) are provided in percentage form.

#: data_file: Table26.yaml
#: keyword reactions: P P --> Z0 X | P P --> GAMMA* X
#: keyword observables: DSIG/DPT
#: keyword phrases: Inclusive | Single Differential Cross Section | Transverse Momentum Dependence | Proton-Proton Scattering | Z Production
#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Electron channel dressed,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
1.0,0.0,2.0,0.03886,1.4%,-1.4%,0.7%,-0.7%,4.5%,-4.5%
3.0,2.0,4.0,0.07415,1.0%,-1.0%,0.5%,-0.5%,1.3%,-1.3%
5.0,4.0,6.0,0.06674,1.0%,-1.0%,0.5%,-0.5%,1.1%,-1.1%
7.0,6.0,8.0,0.05417,1.1%,-1.1%,0.5%,-0.5%,0.9%,-0.9%
9.0,8.0,10.0,0.04119,1.3%,-1.3%,0.5%,-0.5%,1.1%,-1.1%
11.5,10.0,13.0,0.0316,1.1%,-1.1%,0.4%,-0.4%,1.4%,-1.4%
14.5,13.0,16.0,0.02289,1.3%,-1.3%,0.5%,-0.5%,1.5%,-1.5%
18.0,16.0,20.0,0.01705,1.3%,-1.3%,0.5%,-0.5%,1.3%,-1.3%
22.5,20.0,25.0,0.01254,1.2%,-1.2%,0.5%,-0.5%,1.2%,-1.2%
27.5,25.0,30.0,0.007907,1.5%,-1.5%,0.7%,-0.7%,1.5%,-1.5%
33.5,30.0,37.0,0.004606,1.6%,-1.6%,0.8%,-0.8%,1.8%,-1.8%
41.0,37.0,45.0,0.002797,2.0%,-2.0%,1.0%,-1.0%,2.1%,-2.1%
50.0,45.0,55.0,0.001915,2.1%,-2.1%,1.0%,-1.0%,2.3%,-2.3%
60.0,55.0,65.0,0.001213,2.8%,-2.8%,1.2%,-1.2%,2.8%,-2.8%
70.0,65.0,75.0,0.0008436,3.4%,-3.4%,1.5%,-1.5%,3.4%,-3.4%
80.0,75.0,85.0,0.0006112,4.0%,-4.0%,1.8%,-1.8%,3.8%,-3.8%
95.0,85.0,105.0,0.0003534,3.4%,-3.4%,0.9%,-0.9%,3.8%,-3.8%
127.5,105.0,150.0,0.0001279,3.5%,-3.5%,1.3%,-1.3%,4.3%,-4.3%
175.0,150.0,200.0,3.507e-05,5.6%,-5.6%,1.6%,-1.6%,4.4%,-4.4%
550.0,200.0,900.0,1.279e-06,7.5%,-7.5%,2.3%,-2.3%,6.0%,-6.0%

#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Electron channel Born,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
1.0,0.0,2.0,0.04361,1.4%,-1.4%,0.7%,-0.7%,5.2%,-5.2%
3.0,2.0,4.0,0.08265,1.0%,-1.0%,0.5%,-0.5%,3.1%,-3.1%
5.0,4.0,6.0,0.07307,1.0%,-1.0%,0.5%,-0.5%,2.7%,-2.7%
7.0,6.0,8.0,0.05822,1.1%,-1.1%,0.5%,-0.5%,2.0%,-2.0%
9.0,8.0,10.0,0.04293,1.3%,-1.3%,0.5%,-0.5%,1.6%,-1.6%
11.5,10.0,13.0,0.03175,1.1%,-1.1%,0.4%,-0.4%,2.0%,-2.0%
14.5,13.0,16.0,0.02152,1.3%,-1.3%,0.5%,-0.5%,1.9%,-1.9%
18.0,16.0,20.0,0.01438,1.3%,-1.3%,0.5%,-0.5%,2.2%,-2.2%
22.5,20.0,25.0,0.009316,1.2%,-1.2%,0.5%,-0.5%,1.7%,-1.7%
27.5,25.0,30.0,0.006033,1.5%,-1.5%,0.7%,-0.7%,1.7%,-1.7%
33.5,30.0,37.0,0.003857,1.6%,-1.6%,0.8%,-0.8%,2.6%,-2.6%
41.0,37.0,45.0,0.002515,2.0%,-2.0%,1.0%,-1.0%,2.5%,-2.5%
50.0,45.0,55.0,0.001781,2.1%,-2.1%,1.0%,-1.0%,2.7%,-2.7%
60.0,55.0,65.0,0.001139,2.8%,-2.8%,1.2%,-1.2%,3.1%,-3.1%
70.0,65.0,75.0,0.0007991,3.4%,-3.4%,1.5%,-1.5%,3.5%,-3.5%
80.0,75.0,85.0,0.0005812,4.0%,-4.0%,1.8%,-1.8%,4.4%,-4.4%
95.0,85.0,105.0,0.0003374,3.4%,-3.4%,0.9%,-0.9%,4.0%,-4.0%
127.5,105.0,150.0,0.0001225,3.5%,-3.5%,1.3%,-1.3%,4.8%,-4.8%
175.0,150.0,200.0,3.436e-05,5.6%,-5.6%,1.6%,-1.6%,4.4%,-4.4%
550.0,200.0,900.0,1.24e-06,7.5%,-7.5%,2.3%,-2.3%,6.1%,-6.1%

#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Muon channel bare,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
1.0,0.0,2.0,0.0368,1.0%,-1.0%,0.3%,-0.3%,4.4%,-4.4%
3.0,2.0,4.0,0.06865,0.7%,-0.7%,0.3%,-0.3%,0.8%,-0.8%
5.0,4.0,6.0,0.06451,0.7%,-0.7%,0.3%,-0.3%,0.7%,-0.7%
7.0,6.0,8.0,0.05296,0.8%,-0.8%,0.3%,-0.3%,0.8%,-0.8%
9.0,8.0,10.0,0.04097,0.9%,-0.9%,0.4%,-0.4%,0.8%,-0.8%
11.5,10.0,13.0,0.0318,0.8%,-0.8%,0.3%,-0.3%,0.9%,-0.9%
14.5,13.0,16.0,0.02374,0.9%,-0.9%,0.3%,-0.3%,0.9%,-0.9%
18.0,16.0,20.0,0.01904,0.9%,-0.9%,0.3%,-0.3%,0.9%,-0.9%
22.5,20.0,25.0,0.01432,0.8%,-0.8%,0.4%,-0.4%,1.1%,-1.1%
27.5,25.0,30.0,0.00856,1.1%,-1.1%,0.5%,-0.5%,1.2%,-1.2%
33.5,30.0,37.0,0.00458,1.2%,-1.2%,0.6%,-0.6%,1.5%,-1.5%
41.0,37.0,45.0,0.002844,1.5%,-1.5%,0.7%,-0.7%,2.0%,-2.0%
50.0,45.0,55.0,0.001859,1.6%,-1.6%,0.6%,-0.6%,2.0%,-2.0%
60.0,55.0,65.0,0.001262,2.2%,-2.2%,0.8%,-0.8%,2.1%,-2.1%
70.0,65.0,75.0,0.0008045,2.8%,-2.8%,1.0%,-1.0%,2.2%,-2.2%
80.0,75.0,85.0,0.0005686,3.4%,-3.4%,1.3%,-1.3%,2.5%,-2.5%
95.0,85.0,105.0,0.000346,2.9%,-2.9%,1.0%,-1.0%,2.4%,-2.4%
127.5,105.0,150.0,0.000125,3.1%,-3.1%,1.0%,-1.0%,2.1%,-2.1%
175.0,150.0,200.0,3.548e-05,5.1%,-5.1%,1.8%,-1.8%,2.4%,-2.4%
550.0,200.0,900.0,1.361e-06,6.7%,-6.7%,2.6%,-2.6%,3.2%,-3.2%

#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Muon channel dressed,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
1.0,0.0,2.0,0.03927,1.0%,-1.0%,0.3%,-0.3%,4.4%,-4.4%
3.0,2.0,4.0,0.07302,0.7%,-0.7%,0.3%,-0.3%,0.8%,-0.8%
5.0,4.0,6.0,0.06764,0.7%,-0.7%,0.3%,-0.3%,0.7%,-0.7%
7.0,6.0,8.0,0.05484,0.8%,-0.8%,0.3%,-0.3%,0.8%,-0.8%
9.0,8.0,10.0,0.04163,0.9%,-0.9%,0.4%,-0.4%,0.8%,-0.8%
11.5,10.0,13.0,0.03166,0.8%,-0.8%,0.3%,-0.3%,0.9%,-0.9%
14.5,13.0,16.0,0.02283,0.9%,-0.9%,0.3%,-0.3%,0.9%,-0.9%
18.0,16.0,20.0,0.01738,0.9%,-0.9%,0.3%,-0.3%,0.9%,-0.9%
22.5,20.0,25.0,0.01254,0.8%,-0.8%,0.4%,-0.4%,1.1%,-1.1%
27.5,25.0,30.0,0.007862,1.1%,-1.1%,0.5%,-0.5%,1.2%,-1.2%
33.5,30.0,37.0,0.004428,1.2%,-1.2%,0.6%,-0.6%,1.5%,-1.5%
41.0,37.0,45.0,0.002784,1.5%,-1.5%,0.7%,-0.7%,2.0%,-2.0%
50.0,45.0,55.0,0.001819,1.6%,-1.6%,0.6%,-0.6%,2.0%,-2.0%
60.0,55.0,65.0,0.001236,2.2%,-2.2%,0.8%,-0.8%,2.1%,-2.1%
70.0,65.0,75.0,0.0007838,2.8%,-2.8%,1.0%,-1.0%,2.2%,-2.2%
80.0,75.0,85.0,0.0005533,3.4%,-3.4%,1.3%,-1.3%,2.5%,-2.5%
95.0,85.0,105.0,0.0003396,2.9%,-2.9%,1.0%,-1.0%,2.4%,-2.4%
127.5,105.0,150.0,0.0001229,3.1%,-3.1%,1.0%,-1.0%,2.1%,-2.1%
175.0,150.0,200.0,3.488e-05,5.1%,-5.1%,1.8%,-1.8%,2.4%,-2.4%
550.0,200.0,900.0,1.315e-06,6.7%,-6.7%,2.6%,-2.6%,3.2%,-3.2%

#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
