#: table_doi: 10.17182/hepdata.71339.v1/t26
#: name: Table 26
#: description: The values of $(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ in each bin of $p_T^{\ell\ell}$ for the electron and muon channels separately (for various generator-level definitions) and for the Born-level combination in the kinematic region $ 46 \textrm{ GeV} \leq m_{\ell\ell} <  66 \textrm{ GeV},\ 0.0 \leq |y_{\ell\ell}| < 2.4$. The associated statistical and systematic (both uncorrelated and correlated between bins) are provided in percentage form.

#: data_file: Table26.yaml
#: keyword reactions: P P --> Z0 X | P P --> GAMMA* X
#: keyword observables: DSIG/DPT
#: keyword phrases: Inclusive | Single Differential Cross Section | Transverse Momentum Dependence | Proton-Proton Scattering | Z Production
#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Electron channel dressed,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Muon channel Born,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
1.0,0.0,2.0,0.0442,1.0%,-1.0%,0.3%,-0.3%,4.8%,-4.8%
3.0,2.0,4.0,0.0811,0.7%,-0.7%,0.3%,-0.3%,2.1%,-2.1%
5.0,4.0,6.0,0.07414,0.7%,-0.7%,0.3%,-0.3%,1.8%,-1.8%
7.0,6.0,8.0,0.05885,0.8%,-0.8%,0.3%,-0.3%,1.5%,-1.5%
9.0,8.0,10.0,0.04361,0.9%,-0.9%,0.4%,-0.4%,1.3%,-1.3%
11.5,10.0,13.0,0.03179,0.8%,-0.8%,0.3%,-0.3%,1.3%,-1.3%
14.5,13.0,16.0,0.02137,0.9%,-0.9%,0.3%,-0.3%,1.6%,-1.6%
18.0,16.0,20.0,0.01462,0.9%,-0.9%,0.3%,-0.3%,2.0%,-2.0%
22.5,20.0,25.0,0.009367,0.8%,-0.8%,0.4%,-0.4%,3.9%,-3.9%
27.5,25.0,30.0,0.005972,1.1%,-1.1%,0.5%,-0.5%,1.5%,-1.5%
33.5,30.0,37.0,0.003711,1.2%,-1.2%,0.6%,-0.6%,2.4%,-2.4%
41.0,37.0,45.0,0.002504,1.5%,-1.5%,0.7%,-0.7%,2.4%,-2.4%
50.0,45.0,55.0,0.00167,1.6%,-1.6%,0.6%,-0.6%,3.3%,-3.3%
60.0,55.0,65.0,0.001152,2.2%,-2.2%,0.8%,-0.8%,3.1%,-3.1%
70.0,65.0,75.0,0.0007582,2.8%,-2.8%,1.0%,-1.0%,2.2%,-2.2%
80.0,75.0,85.0,0.0005292,3.4%,-3.4%,1.3%,-1.3%,2.9%,-2.9%
95.0,85.0,105.0,0.0003246,2.9%,-2.9%,1.0%,-1.0%,3.0%,-3.0%
127.5,105.0,150.0,0.0001193,3.1%,-3.1%,1.0%,-1.0%,2.3%,-2.3%
175.0,150.0,200.0,3.385e-05,5.1%,-5.1%,1.8%,-1.8%,3.3%,-3.3%
550.0,200.0,900.0,1.294e-06,6.7%,-6.7%,2.6%,-2.6%,3.8%,-3.8%

#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Combination Born,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
1.0,0.0,2.0,0.04347,0.8%,-0.8%,0.3%,-0.3%,4.4%,-4.4%
3.0,2.0,4.0,0.08148,0.6%,-0.6%,0.3%,-0.3%,1.2%,-1.2%
5.0,4.0,6.0,0.0739,0.6%,-0.6%,0.2%,-0.2%,1.1%,-1.1%
7.0,6.0,8.0,0.05877,0.6%,-0.6%,0.2%,-0.2%,0.9%,-0.9%
9.0,8.0,10.0,0.04355,0.8%,-0.8%,0.3%,-0.3%,0.9%,-0.9%
11.5,10.0,13.0,0.03187,0.6%,-0.6%,0.2%,-0.2%,1.0%,-1.0%
14.5,13.0,16.0,0.02148,0.7%,-0.7%,0.3%,-0.3%,1.0%,-1.0%
18.0,16.0,20.0,0.01456,0.7%,-0.7%,0.2%,-0.2%,1.2%,-1.2%
22.5,20.0,25.0,0.009327,0.7%,-0.7%,0.3%,-0.3%,1.7%,-1.7%
27.5,25.0,30.0,0.005999,0.9%,-0.9%,0.4%,-0.4%,1.1%,-1.1%
33.5,30.0,37.0,0.003768,1.0%,-1.0%,0.5%,-0.5%,1.5%,-1.5%
41.0,37.0,45.0,0.00252,1.2%,-1.2%,0.6%,-0.6%,1.7%,-1.7%
50.0,45.0,55.0,0.001712,1.3%,-1.3%,0.5%,-0.5%,1.9%,-1.9%
60.0,55.0,65.0,0.001146,1.7%,-1.7%,0.7%,-0.7%,2.1%,-2.1%
70.0,65.0,75.0,0.0007712,2.2%,-2.2%,0.8%,-0.8%,2.1%,-2.1%
80.0,75.0,85.0,0.0005473,2.6%,-2.6%,1.1%,-1.1%,2.5%,-2.5%
95.0,85.0,105.0,0.0003267,2.2%,-2.2%,0.7%,-0.7%,2.5%,-2.5%
127.5,105.0,150.0,0.0001191,2.4%,-2.4%,0.8%,-0.8%,2.3%,-2.3%
175.0,150.0,200.0,3.363e-05,3.8%,-3.8%,1.2%,-1.2%,2.3%,-2.3%
550.0,200.0,900.0,1.247e-06,5.1%,-5.1%,1.8%,-1.8%,3.0%,-3.0%

