#: table_doi: 10.17182/hepdata.71339.v1/t22
#: name: Table 22
#: description: The values of $(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ in each bin of $p_T^{\ell\ell}$ for the electron and muon channels separately (for various generator-level definitions) and for the Born-level combination in the kinematic region $ 66 \textrm{ GeV} \leq m_{\ell\ell} < 116 \textrm{ GeV},\ 2.0 \leq |y_{\ell\ell}| < 2.4$. The associated statistical and systematic (both uncorrelated and correlated between bins) are provided in percentage form.

#: data_file: Table22.yaml
#: keyword reactions: P P --> Z0 X | P P --> GAMMA* X
#: keyword observables: DSIG/DPT
#: keyword phrases: Inclusive | Single Differential Cross Section | Transverse Momentum Dependence | Proton-Proton Scattering | Z Production
#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Electron channel dressed,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
1.0,0.0,2.0,0.02582,1.3%,-1.3%,0.6%,-0.6%,2.3%,-2.3%
3.0,2.0,4.0,0.05224,0.8%,-0.8%,0.5%,-0.5%,1.5%,-1.5%
5.0,4.0,6.0,0.05276,0.8%,-0.8%,0.5%,-0.5%,1.0%,-1.0%
7.0,6.0,8.0,0.04545,0.9%,-0.9%,0.5%,-0.5%,0.9%,-0.9%
9.0,8.0,10.0,0.03928,1.0%,-1.0%,0.5%,-0.5%,0.9%,-0.9%
11.5,10.0,13.0,0.03116,0.9%,-0.9%,0.4%,-0.4%,0.7%,-0.7%
14.5,13.0,16.0,0.02418,1.1%,-1.1%,0.6%,-0.6%,0.8%,-0.8%
18.0,16.0,20.0,0.01935,1.0%,-1.0%,0.4%,-0.4%,0.6%,-0.6%
22.5,20.0,25.0,0.01407,1.0%,-1.0%,0.6%,-0.6%,0.8%,-0.8%
27.5,25.0,30.0,0.0104,1.1%,-1.1%,0.7%,-0.7%,0.9%,-0.9%
33.5,30.0,37.0,0.007412,1.1%,-1.1%,0.7%,-0.7%,0.8%,-0.8%
41.0,37.0,45.0,0.005299,1.1%,-1.1%,0.5%,-0.5%,0.9%,-0.9%
50.0,45.0,55.0,0.003549,1.2%,-1.2%,0.7%,-0.7%,1.3%,-1.3%
60.0,55.0,65.0,0.0024,1.5%,-1.5%,0.6%,-0.6%,1.5%,-1.5%
70.0,65.0,75.0,0.001534,1.8%,-1.8%,0.9%,-0.9%,1.9%,-1.9%
80.0,75.0,85.0,0.0009811,2.4%,-2.4%,0.8%,-0.8%,1.8%,-1.8%
95.0,85.0,105.0,0.0005455,2.0%,-2.0%,0.6%,-0.6%,1.6%,-1.6%
127.5,105.0,150.0,0.0002015,2.1%,-2.1%,0.8%,-0.8%,1.4%,-1.4%
175.0,150.0,200.0,5.896e-05,3.6%,-3.6%,1.6%,-1.6%,2.6%,-2.6%
550.0,200.0,900.0,1.803e-06,5.4%,-5.4%,1.8%,-1.8%,3.7%,-3.7%

#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Electron channel Born,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
1.0,0.0,2.0,0.02668,1.3%,-1.3%,0.6%,-0.6%,2.3%,-2.3%
3.0,2.0,4.0,0.05354,0.8%,-0.8%,0.5%,-0.5%,1.5%,-1.5%
5.0,4.0,6.0,0.05345,0.8%,-0.8%,0.5%,-0.5%,1.0%,-1.0%
7.0,6.0,8.0,0.04558,0.9%,-0.9%,0.5%,-0.5%,1.0%,-1.0%
9.0,8.0,10.0,0.03904,1.0%,-1.0%,0.5%,-0.5%,0.9%,-0.9%
11.5,10.0,13.0,0.03075,0.9%,-0.9%,0.4%,-0.4%,0.7%,-0.7%
14.5,13.0,16.0,0.02369,1.1%,-1.1%,0.6%,-0.6%,0.8%,-0.8%
18.0,16.0,20.0,0.0189,1.0%,-1.0%,0.4%,-0.4%,0.6%,-0.6%
22.5,20.0,25.0,0.01383,1.0%,-1.0%,0.6%,-0.6%,0.8%,-0.8%
27.5,25.0,30.0,0.01032,1.1%,-1.1%,0.7%,-0.7%,0.9%,-0.9%
33.5,30.0,37.0,0.007365,1.1%,-1.1%,0.7%,-0.7%,0.8%,-0.8%
