#: table_doi: 10.17182/hepdata.71339.v1/t18
#: name: Table 18
#: description: The values of $(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ in each bin of $p_T^{\ell\ell}$ for the electron and muon channels separately (for various generator-level definitions) and for the Born-level combination in the kinematic region $ 66 \textrm{ GeV} \leq m_{\ell\ell} < 116 \textrm{ GeV},\ 0.4 \leq |y_{\ell\ell}| < 0.8$. The associated statistical and systematic (both uncorrelated and correlated between bins) are provided in percentage form.

#: data_file: Table18.yaml
#: keyword reactions: P P --> Z0 X | P P --> GAMMA* X
#: keyword observables: DSIG/DPT
#: keyword phrases: Inclusive | Single Differential Cross Section | Transverse Momentum Dependence | Proton-Proton Scattering | Z Production
#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Electron channel dressed,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
50.0,45.0,55.0,0.003006,0.5%,-0.5%,0.2%,-0.2%,0.7%,-0.7%
60.0,55.0,65.0,0.001928,0.7%,-0.7%,0.3%,-0.3%,0.9%,-0.9%
70.0,65.0,75.0,0.001294,0.8%,-0.8%,0.4%,-0.4%,1.0%,-1.0%
80.0,75.0,85.0,0.0008627,1.0%,-1.0%,0.4%,-0.4%,1.1%,-1.1%
95.0,85.0,105.0,0.000483,0.9%,-0.9%,0.3%,-0.3%,1.0%,-1.0%
127.5,105.0,150.0,0.0001867,0.9%,-0.9%,0.3%,-0.3%,1.0%,-1.0%
175.0,150.0,200.0,5.11e-05,1.5%,-1.5%,0.5%,-0.5%,1.3%,-1.3%
550.0,200.0,900.0,2.124e-06,1.9%,-1.9%,0.6%,-0.6%,1.8%,-1.8%

#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Muon channel bare,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
1.0,0.0,2.0,0.0262,0.4%,-0.4%,0.2%,-0.2%,0.9%,-0.9%
3.0,2.0,4.0,0.05405,0.3%,-0.3%,0.1%,-0.1%,0.3%,-0.3%
5.0,4.0,6.0,0.0553,0.3%,-0.3%,0.1%,-0.1%,0.4%,-0.4%
7.0,6.0,8.0,0.04941,0.3%,-0.3%,0.2%,-0.2%,0.2%,-0.2%
9.0,8.0,10.0,0.04143,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
11.5,10.0,13.0,0.03325,0.3%,-0.3%,0.1%,-0.1%,0.2%,-0.2%
14.5,13.0,16.0,0.02569,0.3%,-0.3%,0.1%,-0.1%,0.2%,-0.2%
18.0,16.0,20.0,0.0194,0.3%,-0.3%,0.1%,-0.1%,0.2%,-0.2%
22.5,20.0,25.0,0.01379,0.3%,-0.3%,0.1%,-0.1%,0.2%,-0.2%
27.5,25.0,30.0,0.0098,0.4%,-0.4%,0.1%,-0.1%,0.2%,-0.2%
33.5,30.0,37.0,0.006786,0.4%,-0.4%,0.1%,-0.1%,0.3%,-0.3%
41.0,37.0,45.0,0.004538,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
50.0,45.0,55.0,0.002939,0.5%,-0.5%,0.2%,-0.2%,0.4%,-0.4%
60.0,55.0,65.0,0.001894,0.6%,-0.6%,0.2%,-0.2%,0.5%,-0.5%
70.0,65.0,75.0,0.001246,0.8%,-0.8%,0.3%,-0.3%,0.5%,-0.5%
80.0,75.0,85.0,0.0008402,1.0%,-1.0%,0.4%,-0.4%,0.6%,-0.6%
95.0,85.0,105.0,0.0004773,0.8%,-0.8%,0.3%,-0.3%,0.5%,-0.5%
127.5,105.0,150.0,0.0001821,0.9%,-0.9%,0.2%,-0.2%,0.4%,-0.4%
175.0,150.0,200.0,5.338e-05,1.6%,-1.6%,0.5%,-0.5%,0.7%,-0.7%
550.0,200.0,900.0,2.095e-06,2.0%,-2.0%,0.6%,-0.6%,1.1%,-1.1%

#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Muon channel dressed,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
1.0,0.0,2.0,0.02672,0.4%,-0.4%,0.2%,-0.2%,0.9%,-0.9%
3.0,2.0,4.0,0.05485,0.3%,-0.3%,0.1%,-0.1%,0.3%,-0.3%
5.0,4.0,6.0,0.05569,0.3%,-0.3%,0.1%,-0.1%,0.4%,-0.4%
7.0,6.0,8.0,0.04936,0.3%,-0.3%,0.2%,-0.2%,0.2%,-0.2%
9.0,8.0,10.0,0.04112,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
11.5,10.0,13.0,0.0329,0.3%,-0.3%,0.1%,-0.1%,0.2%,-0.2%
14.5,13.0,16.0,0.02533,0.3%,-0.3%,0.1%,-0.1%,0.2%,-0.2%
18.0,16.0,20.0,0.01916,0.3%,-0.3%,0.1%,-0.1%,0.2%,-0.2%
22.5,20.0,25.0,0.01368,0.3%,-0.3%,0.1%,-0.1%,0.2%,-0.2%
27.5,25.0,30.0,0.009759,0.4%,-0.4%,0.1%,-0.1%,0.2%,-0.2%
33.5,30.0,37.0,0.006791,0.4%,-0.4%,0.1%,-0.1%,0.3%,-0.3%
41.0,37.0,45.0,0.004555,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
50.0,45.0,55.0,0.002955,0.5%,-0.5%,0.2%,-0.2%,0.4%,-0.4%
60.0,55.0,65.0,0.001912,0.6%,-0.6%,0.2%,-0.2%,0.5%,-0.5%
70.0,65.0,75.0,0.00126,0.8%,-0.8%,0.3%,-0.3%,0.5%,-0.5%
80.0,75.0,85.0,0.0008501,1.0%,-1.0%,0.4%,-0.4%,0.6%,-0.6%
95.0,85.0,105.0,0.0004833,0.8%,-0.8%,0.3%,-0.3%,0.5%,-0.5%
127.5,105.0,150.0,0.000185,0.9%,-0.9%,0.2%,-0.2%,0.4%,-0.4%
175.0,150.0,200.0,5.453e-05,1.6%,-1.6%,0.5%,-0.5%,0.7%,-0.7%
550.0,200.0,900.0,2.138e-06,2.0%,-2.0%,0.6%,-0.6%,1.1%,-1.1%

#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Muon channel Born,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
1.0,0.0,2.0,0.02739,0.4%,-0.4%,0.2%,-0.2%,0.9%,-0.9%
3.0,2.0,4.0,0.0559,0.3%,-0.3%,0.1%,-0.1%,0.4%,-0.4%
5.0,4.0,6.0,0.05617,0.3%,-0.3%,0.1%,-0.1%,0.5%,-0.5%
7.0,6.0,8.0,0.04933,0.3%,-0.3%,0.2%,-0.2%,0.5%,-0.5%
9.0,8.0,10.0,0.04085,0.4%,-0.4%,0.2%,-0.2%,0.5%,-0.5%
11.5,10.0,13.0,0.03251,0.3%,-0.3%,0.1%,-0.1%,0.3%,-0.3%
14.5,13.0,16.0,0.02498,0.3%,-0.3%,0.1%,-0.1%,0.2%,-0.2%
18.0,16.0,20.0,0.01887,0.3%,-0.3%,0.1%,-0.1%,0.3%,-0.3%
22.5,20.0,25.0,0.01355,0.3%,-0.3%,0.1%,-0.1%,0.3%,-0.3%
27.5,25.0,30.0,0.009695,0.4%,-0.4%,0.1%,-0.1%,0.2%,-0.2%
33.5,30.0,37.0,0.006779,0.4%,-0.4%,0.1%,-0.1%,0.3%,-0.3%
41.0,37.0,45.0,0.004564,0.4%,-0.4%,0.2%,-0.2%,0.4%,-0.4%
50.0,45.0,55.0,0.002969,0.5%,-0.5%,0.2%,-0.2%,0.4%,-0.4%
60.0,55.0,65.0,0.001925,0.6%,-0.6%,0.2%,-0.2%,0.5%,-0.5%
70.0,65.0,75.0,0.001271,0.8%,-0.8%,0.3%,-0.3%,0.5%,-0.5%
80.0,75.0,85.0,0.0008586,1.0%,-1.0%,0.4%,-0.4%,0.6%,-0.6%
95.0,85.0,105.0,0.0004873,0.8%,-0.8%,0.3%,-0.3%,0.5%,-0.5%
127.5,105.0,150.0,0.0001866,0.9%,-0.9%,0.2%,-0.2%,0.6%,-0.6%
175.0,150.0,200.0,5.481e-05,1.6%,-1.6%,0.5%,-0.5%,0.8%,-0.8%
550.0,200.0,900.0,2.142e-06,2.0%,-2.0%,0.6%,-0.6%,1.1%,-1.1%

#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Combination Born,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
1.0,0.0,2.0,0.0269,0.3%,-0.3%,0.2%,-0.2%,0.8%,-0.8%
3.0,2.0,4.0,0.05575,0.2%,-0.2%,0.1%,-0.1%,0.3%,-0.3%
5.0,4.0,6.0,0.05642,0.2%,-0.2%,0.1%,-0.1%,0.3%,-0.3%
7.0,6.0,8.0,0.04922,0.3%,-0.3%,0.1%,-0.1%,0.4%,-0.4%
9.0,8.0,10.0,0.04071,0.3%,-0.3%,0.1%,-0.1%,0.4%,-0.4%
11.5,10.0,13.0,0.03256,0.2%,-0.2%,0.1%,-0.1%,0.2%,-0.2%
14.5,13.0,16.0,0.02501,0.3%,-0.3%,0.1%,-0.1%,0.2%,-0.2%
18.0,16.0,20.0,0.01894,0.3%,-0.3%,0.1%,-0.1%,0.2%,-0.2%
22.5,20.0,25.0,0.01359,0.3%,-0.3%,0.1%,-0.1%,0.2%,-0.2%
27.5,25.0,30.0,0.009719,0.3%,-0.3%,0.1%,-0.1%,0.2%,-0.2%
33.5,30.0,37.0,0.006763,0.3%,-0.3%,0.1%,-0.1%,0.2%,-0.2%
41.0,37.0,45.0,0.004589,0.3%,-0.3%,0.1%,-0.1%,0.3%,-0.3%
50.0,45.0,55.0,0.002984,0.4%,-0.4%,0.1%,-0.1%,0.3%,-0.3%
60.0,55.0,65.0,0.001926,0.4%,-0.4%,0.2%,-0.2%,0.4%,-0.4%
70.0,65.0,75.0,0.001283,0.6%,-0.6%,0.2%,-0.2%,0.5%,-0.5%
80.0,75.0,85.0,0.0008633,0.7%,-0.7%,0.3%,-0.3%,0.5%,-0.5%
95.0,85.0,105.0,0.0004858,0.6%,-0.6%,0.2%,-0.2%,0.5%,-0.5%
127.5,105.0,150.0,0.0001874,0.6%,-0.6%,0.2%,-0.2%,0.5%,-0.5%
175.0,150.0,200.0,5.303e-05,1.1%,-1.1%,0.4%,-0.4%,0.7%,-0.7%
550.0,200.0,900.0,2.145e-06,1.4%,-1.4%,0.4%,-0.4%,1.0%,-1.0%

