#: table_doi: 10.17182/hepdata.71339.v1/t18
#: name: Table 18
#: description: The values of $(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ in each bin of $p_T^{\ell\ell}$ for the electron and muon channels separately (for various generator-level definitions) and for the Born-level combination in the kinematic region $ 66 \textrm{ GeV} \leq m_{\ell\ell} < 116 \textrm{ GeV},\ 0.4 \leq |y_{\ell\ell}| < 0.8$. The associated statistical and systematic (both uncorrelated and correlated between bins) are provided in percentage form.

#: data_file: Table18.yaml
#: keyword reactions: P P --> Z0 X | P P --> GAMMA* X
#: keyword observables: DSIG/DPT
#: keyword phrases: Inclusive | Single Differential Cross Section | Transverse Momentum Dependence | Proton-Proton Scattering | Z Production
#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Electron channel dressed,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
1.0,0.0,2.0,0.02601,0.6%,-0.6%,0.3%,-0.3%,1.2%,-1.2%
3.0,2.0,4.0,0.05469,0.4%,-0.4%,0.2%,-0.2%,0.6%,-0.6%
5.0,4.0,6.0,0.05582,0.4%,-0.4%,0.1%,-0.1%,0.4%,-0.4%
7.0,6.0,8.0,0.04875,0.4%,-0.4%,0.2%,-0.2%,0.5%,-0.5%
9.0,8.0,10.0,0.04085,0.4%,-0.4%,0.2%,-0.2%,0.5%,-0.5%
11.5,10.0,13.0,0.03303,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
14.5,13.0,16.0,0.02548,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
18.0,16.0,20.0,0.01933,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
22.5,20.0,25.0,0.0138,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
27.5,25.0,30.0,0.009832,0.5%,-0.5%,0.2%,-0.2%,0.3%,-0.3%
33.5,30.0,37.0,0.006765,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
41.0,37.0,45.0,0.004625,0.5%,-0.5%,0.2%,-0.2%,0.5%,-0.5%
50.0,45.0,55.0,0.002993,0.5%,-0.5%,0.2%,-0.2%,0.7%,-0.7%
60.0,55.0,65.0,0.001915,0.7%,-0.7%,0.3%,-0.3%,0.9%,-0.9%
70.0,65.0,75.0,0.001282,0.8%,-0.8%,0.4%,-0.4%,1.0%,-1.0%
80.0,75.0,85.0,0.0008543,1.0%,-1.0%,0.4%,-0.4%,1.1%,-1.1%
95.0,85.0,105.0,0.0004796,0.9%,-0.9%,0.3%,-0.3%,1.0%,-1.0%
127.5,105.0,150.0,0.0001855,0.9%,-0.9%,0.3%,-0.3%,1.0%,-1.0%
175.0,150.0,200.0,5.087e-05,1.5%,-1.5%,0.5%,-0.5%,1.3%,-1.3%
550.0,200.0,900.0,2.117e-06,2.0%,-2.0%,0.6%,-0.6%,1.7%,-1.7%

#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Electron channel Born,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
1.0,0.0,2.0,0.02663,0.6%,-0.6%,0.3%,-0.3%,1.2%,-1.2%
3.0,2.0,4.0,0.05577,0.4%,-0.4%,0.2%,-0.2%,0.6%,-0.6%
5.0,4.0,6.0,0.05634,0.4%,-0.4%,0.1%,-0.1%,0.4%,-0.4%
7.0,6.0,8.0,0.04874,0.4%,-0.4%,0.2%,-0.2%,0.6%,-0.6%
9.0,8.0,10.0,0.04054,0.4%,-0.4%,0.2%,-0.2%,0.5%,-0.5%
11.5,10.0,13.0,0.03265,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
14.5,13.0,16.0,0.02511,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
18.0,16.0,20.0,0.01905,0.4%,-0.4%,0.2%,-0.2%,0.4%,-0.4%
22.5,20.0,25.0,0.01365,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
27.5,25.0,30.0,0.009771,0.5%,-0.5%,0.2%,-0.2%,0.3%,-0.3%
33.5,30.0,37.0,0.006759,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
41.0,37.0,45.0,0.00463,0.5%,-0.5%,0.2%,-0.2%,0.5%,-0.5%
