#: table_doi: 10.17182/hepdata.71339.v1/t27
#: name: Table 27
#: description: The values of $(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ in each bin of $p_T^{\ell\ell}$ for the electron and muon channels separately (for various generator-level definitions) and for the Born-level combination in the kinematic region $ 66 \textrm{ GeV} \leq m_{\ell\ell} < 116 \textrm{ GeV},\ 0.0 \leq |y_{\ell\ell}| < 2.4$. The associated statistical and systematic (both uncorrelated and correlated between bins) are provided in percentage form.

#: data_file: Table27.yaml
#: keyword reactions: P P --> Z0 X | P P --> GAMMA* X
#: keyword observables: DSIG/DPT
#: keyword phrases: Inclusive | Single Differential Cross Section | Transverse Momentum Dependence | Proton-Proton Scattering | Z Production
#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Electron channel dressed,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
1.0,0.0,2.0,0.02608,0.3%,-0.3%,0.1%,-0.1%,0.9%,-0.9%
3.0,2.0,4.0,0.05441,0.2%,-0.2%,0.1%,-0.1%,0.5%,-0.5%
5.0,4.0,6.0,0.05505,0.2%,-0.2%,0.1%,-0.1%,0.3%,-0.3%
7.0,6.0,8.0,0.04831,0.2%,-0.2%,0.1%,-0.1%,0.4%,-0.4%
9.0,8.0,10.0,0.04084,0.2%,-0.2%,0.1%,-0.1%,0.4%,-0.4%
11.0,10.0,12.0,0.03429,0.2%,-0.2%,0.1%,-0.1%,0.2%,-0.2%
13.0,12.0,14.0,0.02881,0.2%,-0.2%,0.1%,-0.1%,0.3%,-0.3%
15.0,14.0,16.0,0.02431,0.3%,-0.3%,0.1%,-0.1%,0.3%,-0.3%
17.0,16.0,18.0,0.02076,0.3%,-0.3%,0.1%,-0.1%,0.2%,-0.2%
19.0,18.0,20.0,0.01782,0.3%,-0.3%,0.2%,-0.2%,0.3%,-0.3%
21.25,20.0,22.5,0.0151,0.3%,-0.3%,0.1%,-0.1%,0.3%,-0.3%
23.75,22.5,25.0,0.01259,0.3%,-0.3%,0.2%,-0.2%,0.4%,-0.4%
26.25,25.0,27.5,0.01072,0.4%,-0.4%,0.2%,-0.2%,0.4%,-0.4%
28.75,27.5,30.0,0.009172,0.4%,-0.4%,0.2%,-0.2%,0.5%,-0.5%
31.5,30.0,33.0,0.007677,0.4%,-0.4%,0.2%,-0.2%,0.4%,-0.4%
34.5,33.0,36.0,0.006558,0.4%,-0.4%,0.2%,-0.2%,0.5%,-0.5%
37.5,36.0,39.0,0.005537,0.4%,-0.4%,0.2%,-0.2%,0.6%,-0.6%
40.5,39.0,42.0,0.004745,0.5%,-0.5%,0.2%,-0.2%,0.6%,-0.6%
43.5,42.0,45.0,0.004085,0.5%,-0.5%,0.3%,-0.3%,0.7%,-0.7%
46.5,45.0,48.0,0.003557,0.6%,-0.6%,0.3%,-0.3%,0.7%,-0.7%
49.5,48.0,51.0,0.00306,0.6%,-0.6%,0.3%,-0.3%,0.7%,-0.7%
52.5,51.0,54.0,0.002706,0.6%,-0.6%,0.4%,-0.4%,0.9%,-0.9%
55.5,54.0,57.0,0.002358,0.7%,-0.7%,0.4%,-0.4%,0.9%,-0.9%
59.0,57.0,61.0,0.002011,0.6%,-0.6%,0.3%,-0.3%,0.8%,-0.8%
63.0,61.0,65.0,0.001702,0.7%,-0.7%,0.3%,-0.3%,1.0%,-1.0%
