#: table_doi: 10.17182/hepdata.71339.v1/t17
#: name: Table 17
#: description: The values of $(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ in each bin of $p_T^{\ell\ell}$ for the electron and muon channels separately (for various generator-level definitions) and for the Born-level combination in the kinematic region $ 66 \textrm{ GeV} \leq m_{\ell\ell} < 116 \textrm{ GeV},\ 0.0 \leq |y_{\ell\ell}| < 0.4$. The associated statistical and systematic (both uncorrelated and correlated between bins) are provided in percentage form.

#: data_file: Table17.yaml
#: keyword reactions: P P --> Z0 X | P P --> GAMMA* X
#: keyword observables: DSIG/DPT
#: keyword phrases: Inclusive | Single Differential Cross Section | Transverse Momentum Dependence | Proton-Proton Scattering | Z Production
#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Electron channel dressed,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
1.0,0.0,2.0,0.02622,0.5%,-0.5%,0.2%,-0.2%,0.8%,-0.8%
3.0,2.0,4.0,0.05438,0.3%,-0.3%,0.1%,-0.1%,0.4%,-0.4%
5.0,4.0,6.0,0.05513,0.3%,-0.3%,0.2%,-0.2%,0.4%,-0.4%
7.0,6.0,8.0,0.04896,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
9.0,8.0,10.0,0.04127,0.4%,-0.4%,0.2%,-0.2%,0.4%,-0.4%
11.5,10.0,13.0,0.03293,0.3%,-0.3%,0.2%,-0.2%,0.3%,-0.3%
14.5,13.0,16.0,0.02532,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
18.0,16.0,20.0,0.0192,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
22.5,20.0,25.0,0.01377,0.4%,-0.4%,0.1%,-0.1%,0.2%,-0.2%
27.5,25.0,30.0,0.009812,0.4%,-0.4%,0.1%,-0.1%,0.3%,-0.3%
33.5,30.0,37.0,0.006865,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
41.0,37.0,45.0,0.004627,0.5%,-0.5%,0.2%,-0.2%,0.5%,-0.5%
50.0,45.0,55.0,0.003029,0.5%,-0.5%,0.2%,-0.2%,0.7%,-0.7%
60.0,55.0,65.0,0.001926,0.6%,-0.6%,0.2%,-0.2%,0.8%,-0.8%
70.0,65.0,75.0,0.001275,0.8%,-0.8%,0.3%,-0.3%,0.9%,-0.9%
80.0,75.0,85.0,0.0008504,0.9%,-0.9%,0.4%,-0.4%,0.9%,-0.9%
95.0,85.0,105.0,0.0004956,0.8%,-0.8%,0.3%,-0.3%,0.8%,-0.8%
127.5,105.0,150.0,0.0001896,0.9%,-0.9%,0.3%,-0.3%,0.7%,-0.7%
175.0,150.0,200.0,5.379e-05,1.4%,-1.4%,0.5%,-0.5%,0.9%,-0.9%
550.0,200.0,900.0,2.288e-06,1.8%,-1.8%,0.6%,-0.6%,1.4%,-1.4%

#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Electron channel Born,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
1.0,0.0,2.0,0.02688,0.5%,-0.5%,0.2%,-0.2%,0.8%,-0.8%
3.0,2.0,4.0,0.05544,0.3%,-0.3%,0.1%,-0.1%,0.4%,-0.4%
5.0,4.0,6.0,0.05562,0.3%,-0.3%,0.2%,-0.2%,0.4%,-0.4%
7.0,6.0,8.0,0.04897,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
9.0,8.0,10.0,0.04096,0.4%,-0.4%,0.2%,-0.2%,0.6%,-0.6%
11.5,10.0,13.0,0.03256,0.3%,-0.3%,0.2%,-0.2%,0.3%,-0.3%
