#: table_doi: 10.17182/hepdata.71339.v1/t20
#: name: Table 20
#: description: The values of $(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ in each bin of $p_T^{\ell\ell}$ for the electron and muon channels separately (for various generator-level definitions) and for the Born-level combination in the kinematic region $ 66 \textrm{ GeV} \leq m_{\ell\ell} < 116 \textrm{ GeV},\ 1.2 \leq |y_{\ell\ell}| < 1.6$. The associated statistical and systematic (both uncorrelated and correlated between bins) are provided in percentage form.

#: data_file: Table20.yaml
#: keyword reactions: P P --> Z0 X | P P --> GAMMA* X
#: keyword observables: DSIG/DPT
#: keyword phrases: Inclusive | Single Differential Cross Section | Transverse Momentum Dependence | Proton-Proton Scattering | Z Production
#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Electron channel dressed,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Muon channel bare,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
1.0,0.0,2.0,0.02512,0.5%,-0.5%,0.2%,-0.2%,0.9%,-0.9%
3.0,2.0,4.0,0.05308,0.3%,-0.3%,0.2%,-0.2%,0.5%,-0.5%
5.0,4.0,6.0,0.05453,0.3%,-0.3%,0.2%,-0.2%,0.4%,-0.4%
7.0,6.0,8.0,0.04836,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
9.0,8.0,10.0,0.04138,0.4%,-0.4%,0.2%,-0.2%,0.4%,-0.4%
11.5,10.0,13.0,0.03354,0.4%,-0.4%,0.1%,-0.1%,0.2%,-0.2%
14.5,13.0,16.0,0.0262,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
18.0,16.0,20.0,0.01974,0.4%,-0.4%,0.2%,-0.2%,0.2%,-0.2%
22.5,20.0,25.0,0.01405,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
27.5,25.0,30.0,0.01002,0.5%,-0.5%,0.2%,-0.2%,0.3%,-0.3%
33.5,30.0,37.0,0.006924,0.4%,-0.4%,0.1%,-0.1%,0.3%,-0.3%
41.0,37.0,45.0,0.004576,0.5%,-0.5%,0.2%,-0.2%,0.3%,-0.3%
50.0,45.0,55.0,0.002928,0.5%,-0.5%,0.2%,-0.2%,0.3%,-0.3%
60.0,55.0,65.0,0.001902,0.7%,-0.7%,0.3%,-0.3%,0.5%,-0.5%
70.0,65.0,75.0,0.001247,0.9%,-0.9%,0.3%,-0.3%,0.5%,-0.5%
80.0,75.0,85.0,0.0008569,1.1%,-1.1%,0.4%,-0.4%,0.6%,-0.6%
95.0,85.0,105.0,0.0004805,0.9%,-0.9%,0.3%,-0.3%,0.5%,-0.5%
127.5,105.0,150.0,0.0001879,0.9%,-0.9%,0.3%,-0.3%,0.5%,-0.5%
175.0,150.0,200.0,5.304e-05,1.7%,-1.7%,0.5%,-0.5%,0.7%,-0.7%
550.0,200.0,900.0,2.031e-06,2.2%,-2.2%,0.6%,-0.6%,0.8%,-0.8%

#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Muon channel dressed,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
1.0,0.0,2.0,0.02573,0.5%,-0.5%,0.2%,-0.2%,0.9%,-0.9%
3.0,2.0,4.0,0.05405,0.3%,-0.3%,0.2%,-0.2%,0.5%,-0.5%
5.0,4.0,6.0,0.05498,0.3%,-0.3%,0.2%,-0.2%,0.4%,-0.4%
7.0,6.0,8.0,0.04831,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
9.0,8.0,10.0,0.04104,0.4%,-0.4%,0.2%,-0.2%,0.4%,-0.4%
11.5,10.0,13.0,0.03313,0.4%,-0.4%,0.1%,-0.1%,0.2%,-0.2%
14.5,13.0,16.0,0.0258,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
18.0,16.0,20.0,0.01947,0.4%,-0.4%,0.2%,-0.2%,0.2%,-0.2%
22.5,20.0,25.0,0.0139,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
27.5,25.0,30.0,0.009973,0.5%,-0.5%,0.2%,-0.2%,0.3%,-0.3%
33.5,30.0,37.0,0.006928,0.4%,-0.4%,0.1%,-0.1%,0.3%,-0.3%
41.0,37.0,45.0,0.004594,0.5%,-0.5%,0.2%,-0.2%,0.3%,-0.3%
50.0,45.0,55.0,0.002949,0.5%,-0.5%,0.2%,-0.2%,0.3%,-0.3%
60.0,55.0,65.0,0.001921,0.7%,-0.7%,0.3%,-0.3%,0.5%,-0.5%
70.0,65.0,75.0,0.001263,0.9%,-0.9%,0.3%,-0.3%,0.5%,-0.5%
80.0,75.0,85.0,0.0008689,1.1%,-1.1%,0.4%,-0.4%,0.6%,-0.6%
95.0,85.0,105.0,0.0004877,0.9%,-0.9%,0.3%,-0.3%,0.5%,-0.5%
127.5,105.0,150.0,0.0001909,0.9%,-0.9%,0.3%,-0.3%,0.5%,-0.5%
175.0,150.0,200.0,5.41e-05,1.7%,-1.7%,0.5%,-0.5%,0.7%,-0.7%
550.0,200.0,900.0,2.095e-06,2.2%,-2.2%,0.6%,-0.6%,0.8%,-0.8%

#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Muon channel Born,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
1.0,0.0,2.0,0.02645,0.5%,-0.5%,0.2%,-0.2%,0.9%,-0.9%
3.0,2.0,4.0,0.05525,0.3%,-0.3%,0.2%,-0.2%,0.5%,-0.5%
5.0,4.0,6.0,0.05554,0.3%,-0.3%,0.2%,-0.2%,0.4%,-0.4%
7.0,6.0,8.0,0.04829,0.4%,-0.4%,0.2%,-0.2%,0.6%,-0.6%
9.0,8.0,10.0,0.04068,0.4%,-0.4%,0.2%,-0.2%,0.6%,-0.6%
11.5,10.0,13.0,0.03268,0.4%,-0.4%,0.1%,-0.1%,0.3%,-0.3%
14.5,13.0,16.0,0.02536,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
18.0,16.0,20.0,0.01914,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
22.5,20.0,25.0,0.01374,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
27.5,25.0,30.0,0.009918,0.5%,-0.5%,0.2%,-0.2%,0.3%,-0.3%
33.5,30.0,37.0,0.006921,0.4%,-0.4%,0.1%,-0.1%,0.3%,-0.3%
41.0,37.0,45.0,0.004605,0.5%,-0.5%,0.2%,-0.2%,0.3%,-0.3%
50.0,45.0,55.0,0.002967,0.5%,-0.5%,0.2%,-0.2%,0.3%,-0.3%
60.0,55.0,65.0,0.001938,0.7%,-0.7%,0.3%,-0.3%,0.5%,-0.5%
70.0,65.0,75.0,0.001276,0.9%,-0.9%,0.3%,-0.3%,0.6%,-0.6%
80.0,75.0,85.0,0.00088,1.1%,-1.1%,0.4%,-0.4%,0.6%,-0.6%
95.0,85.0,105.0,0.0004928,0.9%,-0.9%,0.3%,-0.3%,0.5%,-0.5%
127.5,105.0,150.0,0.0001927,0.9%,-0.9%,0.3%,-0.3%,0.6%,-0.6%
175.0,150.0,200.0,5.445e-05,1.7%,-1.7%,0.5%,-0.5%,0.7%,-0.7%
550.0,200.0,900.0,2.109e-06,2.2%,-2.2%,0.6%,-0.6%,0.9%,-0.9%

#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Combination Born,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
1.0,0.0,2.0,0.02658,0.4%,-0.4%,0.2%,-0.2%,0.7%,-0.7%
3.0,2.0,4.0,0.05536,0.3%,-0.3%,0.1%,-0.1%,0.4%,-0.4%
5.0,4.0,6.0,0.05529,0.3%,-0.3%,0.2%,-0.2%,0.4%,-0.4%
7.0,6.0,8.0,0.04816,0.3%,-0.3%,0.1%,-0.1%,0.5%,-0.5%
9.0,8.0,10.0,0.04066,0.3%,-0.3%,0.2%,-0.2%,0.5%,-0.5%
11.5,10.0,13.0,0.0327,0.3%,-0.3%,0.1%,-0.1%,0.3%,-0.3%
14.5,13.0,16.0,0.02534,0.3%,-0.3%,0.1%,-0.1%,0.2%,-0.2%
18.0,16.0,20.0,0.01917,0.3%,-0.3%,0.1%,-0.1%,0.2%,-0.2%
22.5,20.0,25.0,0.01374,0.3%,-0.3%,0.1%,-0.1%,0.2%,-0.2%
27.5,25.0,30.0,0.009915,0.4%,-0.4%,0.1%,-0.1%,0.3%,-0.3%
33.5,30.0,37.0,0.006918,0.4%,-0.4%,0.1%,-0.1%,0.2%,-0.2%
41.0,37.0,45.0,0.004606,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
50.0,45.0,55.0,0.002978,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
60.0,55.0,65.0,0.001939,0.5%,-0.5%,0.2%,-0.2%,0.4%,-0.4%
70.0,65.0,75.0,0.001284,0.7%,-0.7%,0.3%,-0.3%,0.5%,-0.5%
80.0,75.0,85.0,0.0008786,0.8%,-0.8%,0.3%,-0.3%,0.5%,-0.5%
95.0,85.0,105.0,0.0004959,0.7%,-0.7%,0.3%,-0.3%,0.5%,-0.5%
127.5,105.0,150.0,0.0001936,0.7%,-0.7%,0.2%,-0.2%,0.5%,-0.5%
175.0,150.0,200.0,5.363e-05,1.3%,-1.3%,0.4%,-0.4%,0.7%,-0.7%
550.0,200.0,900.0,2.099e-06,1.7%,-1.7%,0.5%,-0.5%,1.1%,-1.1%

