#: table_doi: 10.17182/hepdata.71339.v1/t20
#: name: Table 20
#: description: The values of $(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ in each bin of $p_T^{\ell\ell}$ for the electron and muon channels separately (for various generator-level definitions) and for the Born-level combination in the kinematic region $ 66 \textrm{ GeV} \leq m_{\ell\ell} < 116 \textrm{ GeV},\ 1.2 \leq |y_{\ell\ell}| < 1.6$. The associated statistical and systematic (both uncorrelated and correlated between bins) are provided in percentage form.

#: data_file: Table20.yaml
#: keyword reactions: P P --> Z0 X | P P --> GAMMA* X
#: keyword observables: DSIG/DPT
#: keyword phrases: Inclusive | Single Differential Cross Section | Transverse Momentum Dependence | Proton-Proton Scattering | Z Production
#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Electron channel dressed,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
1.0,0.0,2.0,0.02584,0.6%,-0.6%,0.3%,-0.3%,1.1%,-1.1%
3.0,2.0,4.0,0.05405,0.4%,-0.4%,0.2%,-0.2%,0.8%,-0.8%
5.0,4.0,6.0,0.05436,0.4%,-0.4%,0.2%,-0.2%,0.5%,-0.5%
7.0,6.0,8.0,0.04804,0.5%,-0.5%,0.3%,-0.3%,0.6%,-0.6%
9.0,8.0,10.0,0.04096,0.5%,-0.5%,0.2%,-0.2%,0.5%,-0.5%
11.5,10.0,13.0,0.03316,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
14.5,13.0,16.0,0.02573,0.5%,-0.5%,0.3%,-0.3%,0.4%,-0.4%
18.0,16.0,20.0,0.01956,0.5%,-0.5%,0.2%,-0.2%,0.4%,-0.4%
22.5,20.0,25.0,0.0139,0.5%,-0.5%,0.3%,-0.3%,0.4%,-0.4%
27.5,25.0,30.0,0.01,0.6%,-0.6%,0.3%,-0.3%,0.6%,-0.6%
33.5,30.0,37.0,0.006933,0.6%,-0.6%,0.3%,-0.3%,0.6%,-0.6%
41.0,37.0,45.0,0.004611,0.6%,-0.6%,0.3%,-0.3%,0.8%,-0.8%
50.0,45.0,55.0,0.002995,0.7%,-0.7%,0.3%,-0.3%,1.0%,-1.0%
60.0,55.0,65.0,0.00194,0.9%,-0.9%,0.4%,-0.4%,1.1%,-1.1%
70.0,65.0,75.0,0.00129,1.1%,-1.1%,0.4%,-0.4%,1.2%,-1.2%
80.0,75.0,85.0,0.0008719,1.3%,-1.3%,0.5%,-0.5%,1.1%,-1.1%
95.0,85.0,105.0,0.0004966,1.1%,-1.1%,0.5%,-0.5%,1.0%,-1.0%
127.5,105.0,150.0,0.0001933,1.1%,-1.1%,0.4%,-0.4%,1.2%,-1.2%
175.0,150.0,200.0,5.229e-05,2.0%,-2.0%,0.7%,-0.7%,1.7%,-1.7%
550.0,200.0,900.0,2.078e-06,2.7%,-2.7%,1.0%,-1.0%,3.3%,-3.3%

#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Electron channel Born,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
1.0,0.0,2.0,0.02655,0.6%,-0.6%,0.3%,-0.3%,1.1%,-1.1%
3.0,2.0,4.0,0.05522,0.4%,-0.4%,0.2%,-0.2%,0.8%,-0.8%
5.0,4.0,6.0,0.05494,0.4%,-0.4%,0.2%,-0.2%,0.5%,-0.5%
7.0,6.0,8.0,0.04803,0.5%,-0.5%,0.3%,-0.3%,0.6%,-0.6%
9.0,8.0,10.0,0.04057,0.5%,-0.5%,0.2%,-0.2%,0.6%,-0.6%
11.5,10.0,13.0,0.03271,0.4%,-0.4%,0.2%,-0.2%,0.4%,-0.4%
14.5,13.0,16.0,0.02531,0.5%,-0.5%,0.3%,-0.3%,0.4%,-0.4%
18.0,16.0,20.0,0.01922,0.5%,-0.5%,0.2%,-0.2%,0.4%,-0.4%
22.5,20.0,25.0,0.01375,0.5%,-0.5%,0.3%,-0.3%,0.4%,-0.4%
27.5,25.0,30.0,0.009947,0.6%,-0.6%,0.3%,-0.3%,0.6%,-0.6%
33.5,30.0,37.0,0.006929,0.6%,-0.6%,0.3%,-0.3%,0.6%,-0.6%
41.0,37.0,45.0,0.004628,0.6%,-0.6%,0.3%,-0.3%,0.8%,-0.8%
50.0,45.0,55.0,0.003012,0.7%,-0.7%,0.3%,-0.3%,1.0%,-1.0%
60.0,55.0,65.0,0.001953,0.9%,-0.9%,0.4%,-0.4%,1.1%,-1.1%
70.0,65.0,75.0,0.001303,1.1%,-1.1%,0.4%,-0.4%,1.2%,-1.2%
80.0,75.0,85.0,0.0008814,1.3%,-1.3%,0.5%,-0.5%,1.1%,-1.1%
95.0,85.0,105.0,0.0005025,1.1%,-1.1%,0.5%,-0.5%,1.1%,-1.1%
127.5,105.0,150.0,0.000195,1.1%,-1.1%,0.4%,-0.4%,1.2%,-1.2%
175.0,150.0,200.0,5.271e-05,2.0%,-2.0%,0.7%,-0.7%,1.7%,-1.7%
550.0,200.0,900.0,2.084e-06,2.7%,-2.7%,1.0%,-1.0%,3.3%,-3.3%

