#: table_doi: 10.17182/hepdata.71339.v1/t21
#: name: Table 21
#: description: The values of $(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ in each bin of $p_T^{\ell\ell}$ for the electron and muon channels separately (for various generator-level definitions) and for the Born-level combination in the kinematic region $ 66 \textrm{ GeV} \leq m_{\ell\ell} < 116 \textrm{ GeV},\ 1.6 \leq |y_{\ell\ell}| < 2.0$. The associated statistical and systematic (both uncorrelated and correlated between bins) are provided in percentage form.

#: data_file: Table21.yaml
#: keyword reactions: P P --> Z0 X | P P --> GAMMA* X
#: keyword observables: DSIG/DPT
#: keyword phrases: Inclusive | Single Differential Cross Section | Transverse Momentum Dependence | Proton-Proton Scattering | Z Production
#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Electron channel dressed,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
11.5,10.0,13.0,0.03259,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
14.5,13.0,16.0,0.0258,0.5%,-0.5%,0.2%,-0.2%,0.4%,-0.4%
18.0,16.0,20.0,0.02009,0.5%,-0.5%,0.2%,-0.2%,0.3%,-0.3%
22.5,20.0,25.0,0.01436,0.5%,-0.5%,0.2%,-0.2%,0.4%,-0.4%
27.5,25.0,30.0,0.01036,0.6%,-0.6%,0.2%,-0.2%,0.4%,-0.4%
33.5,30.0,37.0,0.007463,0.5%,-0.5%,0.2%,-0.2%,0.4%,-0.4%
41.0,37.0,45.0,0.004975,0.6%,-0.6%,0.2%,-0.2%,0.4%,-0.4%
50.0,45.0,55.0,0.003196,0.7%,-0.7%,0.2%,-0.2%,0.4%,-0.4%
60.0,55.0,65.0,0.002002,0.9%,-0.9%,0.4%,-0.4%,0.6%,-0.6%
70.0,65.0,75.0,0.001311,1.1%,-1.1%,0.4%,-0.4%,0.6%,-0.6%
80.0,75.0,85.0,0.0008804,1.4%,-1.4%,0.5%,-0.5%,0.9%,-0.9%
95.0,85.0,105.0,0.0005142,1.1%,-1.1%,0.4%,-0.4%,0.7%,-0.7%
127.5,105.0,150.0,0.0001994,1.1%,-1.1%,0.3%,-0.3%,0.6%,-0.6%
175.0,150.0,200.0,5.851e-05,1.9%,-1.9%,0.6%,-0.6%,0.8%,-0.8%
550.0,200.0,900.0,1.972e-06,2.8%,-2.8%,0.8%,-0.8%,1.1%,-1.1%

#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Muon channel dressed,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
1.0,0.0,2.0,0.02541,0.6%,-0.6%,0.3%,-0.3%,1.2%,-1.2%
3.0,2.0,4.0,0.05254,0.4%,-0.4%,0.2%,-0.2%,0.6%,-0.6%
5.0,4.0,6.0,0.05366,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
7.0,6.0,8.0,0.04674,0.4%,-0.4%,0.3%,-0.3%,0.5%,-0.5%
9.0,8.0,10.0,0.0395,0.5%,-0.5%,0.2%,-0.2%,0.4%,-0.4%
11.5,10.0,13.0,0.03216,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
14.5,13.0,16.0,0.02531,0.5%,-0.5%,0.2%,-0.2%,0.4%,-0.4%
18.0,16.0,20.0,0.01968,0.5%,-0.5%,0.2%,-0.2%,0.3%,-0.3%
22.5,20.0,25.0,0.01419,0.5%,-0.5%,0.2%,-0.2%,0.4%,-0.4%
27.5,25.0,30.0,0.01029,0.6%,-0.6%,0.2%,-0.2%,0.4%,-0.4%
33.5,30.0,37.0,0.007452,0.5%,-0.5%,0.2%,-0.2%,0.4%,-0.4%
41.0,37.0,45.0,0.004998,0.6%,-0.6%,0.2%,-0.2%,0.4%,-0.4%
50.0,45.0,55.0,0.003221,0.7%,-0.7%,0.2%,-0.2%,0.4%,-0.4%
60.0,55.0,65.0,0.002022,0.9%,-0.9%,0.4%,-0.4%,0.6%,-0.6%
70.0,65.0,75.0,0.00133,1.1%,-1.1%,0.4%,-0.4%,0.6%,-0.6%
80.0,75.0,85.0,0.0008952,1.4%,-1.4%,0.5%,-0.5%,0.9%,-0.9%
95.0,85.0,105.0,0.0005206,1.1%,-1.1%,0.4%,-0.4%,0.7%,-0.7%
127.5,105.0,150.0,0.000203,1.1%,-1.1%,0.3%,-0.3%,0.6%,-0.6%
175.0,150.0,200.0,5.976e-05,1.9%,-1.9%,0.6%,-0.6%,0.8%,-0.8%
550.0,200.0,900.0,2.036e-06,2.8%,-2.8%,0.8%,-0.8%,1.1%,-1.1%

#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Muon channel Born,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
1.0,0.0,2.0,0.02618,0.6%,-0.6%,0.3%,-0.3%,1.2%,-1.2%
3.0,2.0,4.0,0.05382,0.4%,-0.4%,0.2%,-0.2%,0.7%,-0.7%
5.0,4.0,6.0,0.05433,0.4%,-0.4%,0.2%,-0.2%,0.5%,-0.5%
7.0,6.0,8.0,0.04679,0.4%,-0.4%,0.3%,-0.3%,0.9%,-0.9%
9.0,8.0,10.0,0.03922,0.5%,-0.5%,0.2%,-0.2%,0.5%,-0.5%
11.5,10.0,13.0,0.0317,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
14.5,13.0,16.0,0.0248,0.5%,-0.5%,0.2%,-0.2%,0.4%,-0.4%
18.0,16.0,20.0,0.01929,0.5%,-0.5%,0.2%,-0.2%,0.4%,-0.4%
22.5,20.0,25.0,0.01398,0.5%,-0.5%,0.2%,-0.2%,0.5%,-0.5%
27.5,25.0,30.0,0.0102,0.6%,-0.6%,0.2%,-0.2%,0.5%,-0.5%
33.5,30.0,37.0,0.007429,0.5%,-0.5%,0.2%,-0.2%,0.4%,-0.4%
41.0,37.0,45.0,0.005015,0.6%,-0.6%,0.2%,-0.2%,0.4%,-0.4%
50.0,45.0,55.0,0.003241,0.7%,-0.7%,0.2%,-0.2%,0.4%,-0.4%
60.0,55.0,65.0,0.002044,0.9%,-0.9%,0.4%,-0.4%,0.6%,-0.6%
70.0,65.0,75.0,0.001344,1.1%,-1.1%,0.4%,-0.4%,0.6%,-0.6%
80.0,75.0,85.0,0.0009085,1.4%,-1.4%,0.5%,-0.5%,0.9%,-0.9%
95.0,85.0,105.0,0.0005271,1.1%,-1.1%,0.4%,-0.4%,0.8%,-0.8%
127.5,105.0,150.0,0.0002053,1.1%,-1.1%,0.3%,-0.3%,0.6%,-0.6%
175.0,150.0,200.0,6.05e-05,1.9%,-1.9%,0.6%,-0.6%,0.9%,-0.9%
550.0,200.0,900.0,2.054e-06,2.8%,-2.8%,0.8%,-0.8%,1.2%,-1.2%

#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Combination Born,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
1.0,0.0,2.0,0.02606,0.5%,-0.5%,0.3%,-0.3%,0.9%,-0.9%
3.0,2.0,4.0,0.05394,0.3%,-0.3%,0.2%,-0.2%,0.6%,-0.6%
5.0,4.0,6.0,0.05425,0.3%,-0.3%,0.2%,-0.2%,0.4%,-0.4%
7.0,6.0,8.0,0.04667,0.3%,-0.3%,0.2%,-0.2%,0.6%,-0.6%
9.0,8.0,10.0,0.03925,0.4%,-0.4%,0.2%,-0.2%,0.4%,-0.4%
11.5,10.0,13.0,0.0318,0.3%,-0.3%,0.2%,-0.2%,0.2%,-0.2%
14.5,13.0,16.0,0.02489,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
18.0,16.0,20.0,0.01914,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
22.5,20.0,25.0,0.01403,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
27.5,25.0,30.0,0.01025,0.5%,-0.5%,0.2%,-0.2%,0.4%,-0.4%
33.5,30.0,37.0,0.007398,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
41.0,37.0,45.0,0.004994,0.5%,-0.5%,0.2%,-0.2%,0.4%,-0.4%
50.0,45.0,55.0,0.003241,0.5%,-0.5%,0.2%,-0.2%,0.4%,-0.4%
60.0,55.0,65.0,0.002052,0.7%,-0.7%,0.3%,-0.3%,0.6%,-0.6%
70.0,65.0,75.0,0.001349,0.8%,-0.8%,0.4%,-0.4%,0.6%,-0.6%
80.0,75.0,85.0,0.0009165,1.0%,-1.0%,0.4%,-0.4%,0.8%,-0.8%
95.0,85.0,105.0,0.000529,0.8%,-0.8%,0.4%,-0.4%,0.6%,-0.6%
127.5,105.0,150.0,0.0002056,0.8%,-0.8%,0.3%,-0.3%,0.5%,-0.5%
175.0,150.0,200.0,6.014e-05,1.5%,-1.5%,0.5%,-0.5%,0.8%,-0.8%
550.0,200.0,900.0,2.06e-06,2.1%,-2.1%,0.7%,-0.7%,1.3%,-1.3%

