#: table_doi: 10.17182/hepdata.71339.v1/t21
#: name: Table 21
#: description: The values of $(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ in each bin of $p_T^{\ell\ell}$ for the electron and muon channels separately (for various generator-level definitions) and for the Born-level combination in the kinematic region $ 66 \textrm{ GeV} \leq m_{\ell\ell} < 116 \textrm{ GeV},\ 1.6 \leq |y_{\ell\ell}| < 2.0$. The associated statistical and systematic (both uncorrelated and correlated between bins) are provided in percentage form.

#: data_file: Table21.yaml
#: keyword reactions: P P --> Z0 X | P P --> GAMMA* X
#: keyword observables: DSIG/DPT
#: keyword phrases: Inclusive | Single Differential Cross Section | Transverse Momentum Dependence | Proton-Proton Scattering | Z Production
#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Electron channel dressed,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
1.0,0.0,2.0,0.02536,0.8%,-0.8%,0.5%,-0.5%,1.5%,-1.5%
3.0,2.0,4.0,0.05324,0.5%,-0.5%,0.3%,-0.3%,1.1%,-1.1%
5.0,4.0,6.0,0.05345,0.5%,-0.5%,0.3%,-0.3%,0.6%,-0.6%
7.0,6.0,8.0,0.0464,0.6%,-0.6%,0.3%,-0.3%,0.9%,-0.9%
9.0,8.0,10.0,0.0396,0.6%,-0.6%,0.3%,-0.3%,0.8%,-0.8%
11.5,10.0,13.0,0.03241,0.6%,-0.6%,0.3%,-0.3%,0.5%,-0.5%
14.5,13.0,16.0,0.02554,0.7%,-0.7%,0.3%,-0.3%,0.6%,-0.6%
18.0,16.0,20.0,0.0192,0.6%,-0.6%,0.3%,-0.3%,0.6%,-0.6%
22.5,20.0,25.0,0.01431,0.6%,-0.6%,0.3%,-0.3%,0.5%,-0.5%
27.5,25.0,30.0,0.01042,0.8%,-0.8%,0.4%,-0.4%,0.7%,-0.7%
33.5,30.0,37.0,0.007322,0.7%,-0.7%,0.3%,-0.3%,0.8%,-0.8%
41.0,37.0,45.0,0.004924,0.8%,-0.8%,0.4%,-0.4%,1.0%,-1.0%
50.0,45.0,55.0,0.003207,0.8%,-0.8%,0.4%,-0.4%,1.4%,-1.4%
60.0,55.0,65.0,0.002042,1.0%,-1.0%,0.5%,-0.5%,1.6%,-1.6%
70.0,65.0,75.0,0.001333,1.3%,-1.3%,0.6%,-0.6%,1.8%,-1.8%
80.0,75.0,85.0,0.0009113,1.5%,-1.5%,0.6%,-0.6%,2.0%,-2.0%
95.0,85.0,105.0,0.0005245,1.3%,-1.3%,0.6%,-0.6%,1.3%,-1.3%
127.5,105.0,150.0,0.0002042,1.3%,-1.3%,0.5%,-0.5%,1.3%,-1.3%
175.0,150.0,200.0,5.886e-05,2.2%,-2.2%,0.9%,-0.9%,1.9%,-1.9%
550.0,200.0,900.0,2.048e-06,3.2%,-3.2%,1.3%,-1.3%,3.4%,-3.4%

#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Electron channel Born,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
1.0,0.0,2.0,0.02616,0.8%,-0.8%,0.5%,-0.5%,1.5%,-1.5%
3.0,2.0,4.0,0.05454,0.5%,-0.5%,0.3%,-0.3%,1.2%,-1.2%
5.0,4.0,6.0,0.05408,0.5%,-0.5%,0.3%,-0.3%,0.6%,-0.6%
7.0,6.0,8.0,0.04646,0.6%,-0.6%,0.3%,-0.3%,0.9%,-0.9%
9.0,8.0,10.0,0.03931,0.6%,-0.6%,0.3%,-0.3%,0.9%,-0.9%
11.5,10.0,13.0,0.03194,0.6%,-0.6%,0.3%,-0.3%,0.5%,-0.5%
14.5,13.0,16.0,0.02503,0.7%,-0.7%,0.3%,-0.3%,0.6%,-0.6%
18.0,16.0,20.0,0.01882,0.6%,-0.6%,0.3%,-0.3%,0.6%,-0.6%
22.5,20.0,25.0,0.01409,0.6%,-0.6%,0.3%,-0.3%,0.5%,-0.5%
27.5,25.0,30.0,0.01033,0.8%,-0.8%,0.4%,-0.4%,0.7%,-0.7%
33.5,30.0,37.0,0.007307,0.7%,-0.7%,0.3%,-0.3%,0.8%,-0.8%
41.0,37.0,45.0,0.004937,0.8%,-0.8%,0.4%,-0.4%,1.0%,-1.0%
50.0,45.0,55.0,0.003225,0.8%,-0.8%,0.4%,-0.4%,1.4%,-1.4%
60.0,55.0,65.0,0.002062,1.0%,-1.0%,0.5%,-0.5%,1.6%,-1.6%
70.0,65.0,75.0,0.00135,1.3%,-1.3%,0.6%,-0.6%,1.8%,-1.8%
80.0,75.0,85.0,0.0009246,1.5%,-1.5%,0.6%,-0.6%,2.0%,-2.0%
95.0,85.0,105.0,0.0005298,1.3%,-1.3%,0.6%,-0.6%,1.3%,-1.3%
127.5,105.0,150.0,0.0002064,1.3%,-1.3%,0.5%,-0.5%,1.3%,-1.3%
175.0,150.0,200.0,5.962e-05,2.2%,-2.2%,0.9%,-0.9%,1.9%,-1.9%
550.0,200.0,900.0,2.078e-06,3.2%,-3.2%,1.3%,-1.3%,3.5%,-3.5%

#: ,,,$(1/\sigma)\,d\sigma/dp_T^{\ell\ell}$ $\pm$ Statistical [%] $\pm$ Uncorrelated systematic [%] $\pm$ Correlated systematic [%]
$p_T^{\ell\ell}$,$p_T^{\ell\ell}$ LOW,$p_T^{\ell\ell}$ HIGH,Muon channel bare,stat +,stat -,"sys,Uncorrelated +","sys,Uncorrelated -","sys,Correlated +","sys,Correlated -"
1.0,0.0,2.0,0.02466,0.6%,-0.6%,0.3%,-0.3%,1.2%,-1.2%
3.0,2.0,4.0,0.05139,0.4%,-0.4%,0.2%,-0.2%,0.6%,-0.6%
5.0,4.0,6.0,0.05307,0.4%,-0.4%,0.2%,-0.2%,0.3%,-0.3%
7.0,6.0,8.0,0.04678,0.4%,-0.4%,0.3%,-0.3%,0.5%,-0.5%
9.0,8.0,10.0,0.03978,0.5%,-0.5%,0.2%,-0.2%,0.4%,-0.4%
